suburb,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,Ypred2,Threshold
STANMORE,0.171343284,0.142543422,0.139364793,0.127837515,0.109828838,0.109180498,0.109526896,0.103564485,0.032931524,0.046787564,0.062463122,0.054227308,0.148275816,0.13181485,0.126543082,0.115012987,0.146105089,0.130883946,0.124785907,0.118852459,0.00159702,0.002515166,0.004314548,0.003065678,0.149266035,0.132586554,0.127864711,0.12097552,1,0,0,0.063991606,0
STOCKTON,0.115223881,0.099321222,0.095982366,0.088043378,0.071317427,0.067887707,0.064160726,0.063836682,0.018671822,0.017237448,0.012432877,0.015320736,0.096534157,0.086163105,0.080591222,0.075376623,0.095811134,0.084603849,0.080213686,0.079508197,0.000643523,0.000420992,0.000241148,0.000271516,0.097129849,0.08677069,0.080230086,0.078276723,0.002299683,0,0,2.98E-08,0
STRATHFIELD,0.087164179,0.09263326,0.090271516,0.082804889,0.062564834,0.062564834,0.062929358,0.062929358,0.036845777,0.018085086,0.021242956,0.027215472,0.077168116,0.078141738,0.076235498,0.071194805,0.076635128,0.074606348,0.074708425,0.072131148,0.001928744,0.000456911,0.000597862,0.000805248,0.077165489,0.078260078,0.076136343,0.074590781,0.01596362,1,0,0.000641942,0
SUFFOLK PARK,0.131343284,0.109103613,0.105801022,0.097049904,0.078967842,0.078967842,0.067887233,0.067887233,0.015670311,0.031031248,0.005300178,0.008613701,0.105189744,0.093934995,0.08617522,0.081103896,0.101552453,0.089290177,0.084903352,0.08442623,0.000493799,0.001182788,6.53E-05,9.50E-05,0.105918675,0.094802337,0.085439271,0.08363389,0.00237468,1,0,0.9791051,1
SUMMER HILL,0.231761194,0.193950888,0.190962829,0.175167724,0.142245851,0.142245851,0.142579391,0.127673364,0.044086741,0.058724452,0.059945849,0.023194396,0.195652807,0.175875289,0.165187234,0.15038961,0.198144406,0.173956511,0.159326319,0.157786885,0.002621876,0.003852721,0.003990835,0.000593234,0.196811809,0.177058282,0.165576214,0.154215053,0.002072773,0,1,8.94E-08,0
SUMMERLAND POINT,0.273432836,0.227889798,0.225027552,0.206414852,0.198651452,0.189574689,0.166817887,0.154244977,0.093860562,0.105870428,0.064374671,0.037988761,0.24528236,0.214128658,0.196131456,0.17961039,0.238609223,0.208697826,0.19133839,0.18852459,0.01017858,0.011900684,0.004568773,0.001532272,0.247069088,0.216249034,0.196831325,0.185723911,0.000503787,0,0,0.99999726,1
SURF BEACH,0.152597015,0.131563186,0.146277928,0.134178844,0.106976141,0.106976141,0.107323396,0.107323396,0.047616133,0.059109719,0.04320772,0.051076091,0.13732809,0.12352709,0.125923785,0.120909091,0.136597465,0.12071982,0.122135226,0.12704918,0.002997123,0.003900603,0.002158394,0.002726968,0.137875436,0.122415869,0.124384348,0.125229546,0.001884023,1,0,1.49E-07,0
SURRY HILLS,0.19880597,0.165502096,0.162408576,0.148975278,0.126880511,0.126880511,0.125081011,0.125081011,0.042348688,0.066538231,0.065353519,0.084005989,0.171367779,0.151589967,0.14091078,0.13387013,0.171435789,0.147713072,0.134002121,0.132295082,0.002446093,0.004881471,0.004701763,0.007244667,0.172658029,0.1526784,0.140704796,0.14150582,0.001161719,1,0,7.41E-05,0
SUSSEX INLET,0.062686567,0.06468357,0.061216311,0.056152927,0.039198651,0.039198651,0.039572262,0.039572262,0.013275548,0.004636398,0.007192796,0.00983505,0.055169082,0.052363703,0.049525205,0.047457143,0.056540511,0.051487128,0.048466683,0.050532787,0.000387056,5.52E-05,0.000102087,0.000120478,0.055308164,0.052566451,0.04878369,0.049326886,0.00817826,1,1,2.98E-08,0
SUTHERLAND,0.085373134,0.094629667,0.091273419,0.083723922,0.078060166,0.078060166,0.068697343,0.068697343,0.054930245,0.051246289,0.033760589,0.042236178,0.084509146,0.08623217,0.080549936,0.077402597,0.083295058,0.081896193,0.079194193,0.083606557,0.003852799,0.002981676,0.001369781,0.001882549,0.084528506,0.086920788,0.079748469,0.081156778,0.037043019,1,1,0,0
