suburb,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,Ypred2,Threshold
ABERDARE,0.161791045,0.134557796,0.131349564,0.12048525,0.101400415,0.101400415,0.100453662,0.100453662,0.029558146,0.05072162,0.049307706,0.064422274,0.134864267,0.123512995,0.114508072,0.108571429,0.130718354,0.121677914,0.109982873,0.109016393,0.001335321,0.002924732,0.002761767,0.004297219,0.135619027,0.124523987,0.114143176,0.114184931,0.001884023,1,0,0.9893977,1
ABERDEEN,0.084776119,0.085645837,0.082256287,0.081885856,0.070280083,0.062240664,0.062605314,0.062605314,0.048273413,0.022785185,0.030309219,0.026647602,0.082922211,0.07628122,0.072622931,0.071064935,0.08308837,0.074314755,0.071038251,0.07295082,0.003069713,0.000681967,0.001125876,0.00077335,0.083094831,0.076140717,0.070288788,0.071195487,0.008247625,1,1,0.00054276,0
ABERGLASSLYN,0.039385075,0.032441605,0.028854824,0.026468156,0.032870851,0.030731328,0.031108231,0.031108231,0.029376633,0.037460625,0.043097992,0.055376793,0.038517903,0.03440548,0.034783865,0.032,0.040005512,0.034866283,0.037843569,0.038934426,0.001321875,0.001666938,0.002148217,0.003194162,0.038779047,0.034603488,0.035662359,0.036330969,0.024648159,1,0,1,1
ABERMAIN,0.266865672,0.222399681,0.219517082,0.201360169,0.174662863,0.174662863,0.143875567,0.142579391,0.061746154,0.080561432,0.010624834,0.012389337,0.224023637,0.196876586,0.182114694,0.171168831,0.218216057,0.186453387,0.180327869,0.181147541,0.004744949,0.007031729,0.000187005,0.000183336,0.225567446,0.19790335,0.180388201,0.174560395,0.001340306,0,0,0,0
ACACIA GARDENS,0.045970149,0.048213216,0.050996894,0.046778789,0.036436722,0.036436722,0.036811406,0.036811406,0.02191799,0.01925811,0.016248269,0.022282706,0.043799798,0.043489598,0.04289666,0.041194805,0.04400147,0.042176956,0.041269065,0.042622951,0.000825407,0.000508972,0.000376708,0.000549651,0.043783692,0.043422729,0.042554932,0.043927444,0.022893412,1,0,0.04174745,0
ADAMSTOWN HEIGHTS,0.112597015,0.099620683,0.096282938,0.088319088,0.073521784,0.067848807,0.068211277,0.068211277,0.022313858,0.018946534,0.02350782,0.029241071,0.097705152,0.087127192,0.08318195,0.077571429,0.097234981,0.085853537,0.082660468,0.080655738,0.000849006,0.000494877,0.00071447,0.000924267,0.098248318,0.087439104,0.082931229,0.080648144,0.002514626,1,0,0.005196095,0
ADAMSTOWN,0.313432836,0.261329607,0.258591324,0.237202463,0.231068465,0.231068465,0.231367466,0.189889825,0.106860101,0.13611825,0.177782779,0.088727905,0.294663591,0.25662457,0.246810619,0.217506494,0.292623553,0.248729484,0.237174782,0.23557377,0.012955073,0.019387958,0.032637377,0.008069829,0.296864615,0.258475477,0.251476655,0.227114793,0.00062915,0,0,0.000137866,0
ALBION PARK RAIL,0.139701493,0.116091036,0.112814347,0.103483136,0.098871888,0.098807054,0.095593001,0.089436163,0.038157085,0.061404529,0.067549937,0.06719744,0.133419341,0.118368382,0.109863342,0.09961039,0.132188132,0.118553695,0.111410162,0.109836066,0.002046617,0.004191917,0.005007103,0.004668363,0.134363297,0.119082232,0.108940807,0.098661699,0.001884023,0,1,0,0
ALBION PARK,0.28,0.233379916,0.230538022,0.211469534,0.21875,0.21875,0.219053791,0.219053791,0.128969644,0.157557624,0.194524262,0.242724866,0.270584081,0.246377629,0.236406424,0.225974026,0.275950762,0.241856203,0.235788272,0.248360656,0.01844107,0.025794907,0.038944443,0.05936363,0.271782235,0.246822926,0.236410228,0.240484589,0.002150919,1,1,0,0
ALBURY,0.00119403,0.004791376,0.001102094,0.001010936,0.005899896,0.004149378,0,0,0.011154136,0.012416979,0.003452041,0.007246441,0.005748275,0.00332638,0,0,0.005190152,0.001832875,0,0,0.000301923,0.000243843,3.62E-05,7.01E-05,0.005955421,0.004028473,0,0.001096535,0.039743618,1,0,0,0
ALEXANDRIA,0.085791045,0.071171891,0.067728685,0.062126643,0.065093361,0.04784751,0.048217758,0.048217758,0.030812738,0.015202446,0.020714019,0.027278453,0.070405212,0.059578846,0.057305644,0.053480519,0.067219364,0.057110722,0.055745861,0.053278689,0.001430034,0.00034058,0.000572096,0.000808825,0.070975935,0.059699647,0.056762627,0.054906002,0.004701452,0,1,0.000437081,0
ALLAMBIE HEIGHTS,0.088119403,0.075643841,0.083358381,0.087400055,0.080005187,0.080005187,0.074530136,0.074530136,0.06676714,0.084518142,0.060942381,0.052838882,0.097354319,0.083565428,0.080157714,0.08025974,0.103435605,0.080646505,0.077970802,0.081967213,0.005460633,0.007709056,0.004117481,0.002914,0.098298784,0.083232987,0.078730713,0.085516494,1,1,0,0,0
ALSTONVILLE,0.234626866,0.195448193,0.192465685,0.176546273,0.161047718,0.148729253,0.132858069,0.12896954,0.063986924,0.05725075,0.028049374,0.024447342,0.206284108,0.175692056,0.163638991,0.152337662,0.199246739,0.170624011,0.161773102,0.161065574,0.005058215,0.003672282,0.000978991,0.000655836,0.208078636,0.176932357,0.162827363,0.156130686,0.00144631,0,0,0.16453049,0
AMBARVALE,0.056119403,0.051706928,0.049594229,0.048800662,0.034556535,0.034556535,0.034931951,0.034931951,0.010157514,0.013489325,0.01276719,0.012147893,0.047540154,0.043849016,0.041802568,0.040753247,0.046711372,0.042739315,0.040861267,0.041803279,0.000264986,0.000279261,0.000251871,0.000176837,0.047789175,0.04384885,0.040810207,0.042157135,0.00811028,1,1,1.34E-06,0
ANNA BAY,0.097791045,0.104711519,0.101392646,0.093006158,0.070280083,0.070280083,0.070641607,0.070641607,0.038114004,0.01701687,0.022335374,0.028267856,0.090988808,0.089001804,0.085948144,0.080285714,0.094249495,0.086270099,0.084515945,0.081967213,0.002042691,0.000411878,0.000652834,0.000866062,0.091061182,0.089234096,0.08573233,0.08369334,0.009841115,1,0,0.0518201,0
ANNANDALE,0.182686567,0.19145538,0.18845807,0.172870141,0.168503631,0.168503631,0.16720674,0.16720674,0.122560929,0.123811725,0.125810555,0.158921717,0.205166657,0.194339516,0.187275505,0.175584416,0.213852655,0.19353495,0.18848381,0.189344262,0.016751886,0.016122531,0.01660376,0.025582092,0.205408185,0.193198032,0.182296494,0.169275891,0.040618028,0,1,1,1
ARMIDALE,0.087164179,0.087442603,0.084059713,0.077106884,0.062564834,0.062564834,0.06286455,0.06286455,0.034844298,0.032464901,0.031593574,0.038987379,0.082881471,0.077799938,0.071399818,0.068831169,0.083272093,0.076730817,0.0677249,0.069836066,0.001755356,0.001283636,0.001213877,0.00161139,0.083155241,0.078454306,0.070654544,0.072410923,1,1,0,1,1
ASHFIELD,0.05480597,0.048862048,0.045336139,0.041586251,0.039354253,0.039354253,0.039727803,0.039727803,0.016018819,0.030398641,0.036853252,0.048915102,0.044917249,0.041565654,0.041162627,0.038688312,0.04322065,0.03690744,0.038312536,0.035655738,0.000510274,0.001139586,0.001608432,0.002506145,0.045093516,0.041499563,0.040703433,0.040102784,0.02491122,0,1,0,0
ASHMONT,0.142447761,0.118386904,0.115118726,0.105596912,0.103993776,0.098158714,0.095917045,0.093324692,0.045274355,0.060074237,0.070863269,0.082387542,0.137638493,0.122286745,0.114157136,0.104883117,0.139215506,0.123969008,0.11875051,0.119672131,0.002745408,0.00402177,0.00548584,0.006972078,0.138528284,0.123551442,0.115433546,0.111780482,0.003105298,0,1,0,0
ASHTONFIELD,0.12,0.108604512,0.10530007,0.113132984,0.080005187,0.080005187,0.078418665,0.078418665,0.034722647,0.033296575,0.036736623,0.005583485,0.106059648,0.100115578,0.095929152,0.094415584,0.10732133,0.100849788,0.09774896,0.098770492,0.001745072,0.001344009,0.001599087,4.47E-05,0.106402464,0.09996301,0.093356415,0.096283672,0.02874225,1,0,0,0
AUBURN,0.08919403,0.08963865,0.08876866,0.081426339,0.06282417,0.06282417,0.063188594,0.06117952,0.03058471,0.025629704,0.026555112,0.025124961,0.080504948,0.078360207,0.075626522,0.069519481,0.080654051,0.076543364,0.073954,0.070286885,0.001412589,0.000839475,0.000887437,0.000690998,0.080629983,0.078592879,0.075852371,0.072694965,1,0,0,1,1
AUSTINMER,0.444776119,0.397883809,0.395651738,0.362926202,0.319242739,0.316901452,0.312378483,0.312378483,0.140286674,0.159671304,0.166743625,0.208985538,0.415168912,0.374779952,0.354857355,0.332935065,0.412502297,0.365991835,0.343854498,0.332786885,0.021621344,0.026475979,0.028783078,0.04407811,0.417380269,0.375334271,0.351316722,0.337375979,0.000956179,0,1,0,0
AVALON BEACH,0.048358209,0.052904771,0.0498948,0.045767852,0.03591805,0.03591805,0.036292936,0.036292936,0.018868237,0.01563189,0.016928756,0.022704825,0.047342272,0.044567853,0.042401222,0.040831169,0.0473544,0.042947596,0.041065166,0.043032787,0.000653939,0.000356865,0.000403924,0.000569624,0.047441282,0.044648248,0.041264562,0.041338037,0.035375753,0,1,0.000540644,0
AVOCA BEACH,0.143880597,0.119584747,0.11632101,0.106699752,0.087266598,0.084673237,0.081011017,0.081011017,0.022107122,0.026528304,0.022949379,0.028519108,0.12053588,0.106581947,0.099784815,0.093246753,0.119157634,0.105714238,0.099248675,0.097540984,0.000836643,0.000892572,0.000684772,0.000880908,0.121343941,0.107342083,0.099606783,0.097274517,0.002287481,1,0,0.35453236,1
BALGOWLAH HEIGHTS,0.17038806,0.141744859,0.13856327,0.127102288,0.124740664,0.121498963,0.116493843,0.111860013,0.052588417,0.080049437,0.081708719,0.084627842,0.166135813,0.146804702,0.134996491,0.122857143,0.166934595,0.149108556,0.137427616,0.133770492,0.003567372,0.006946355,0.007205354,0.007350793,0.167366188,0.148681892,0.136901841,0.130751853,0.001484678,0,0,0.10255599,0
BALGOWNIE,0.109850746,0.107506488,0.104197976,0.09557945,0.074170124,0.068983402,0.066493843,0.066493843,0.022017796,0.007638403,0.00388751,0.006725839,0.098987116,0.089488076,0.08490566,0.079922078,0.099255925,0.087728068,0.083924639,0.083770492,0.000831328,0.000113768,4.24E-05,6.15E-05,0.099487092,0.089828304,0.084151173,0.082359003,0.003183672,1,0,0.060922563,0
BALLINA,0.157014925,0.130564983,0.12734195,0.116809117,0.108272822,0.106846473,0.095917045,0.094031108,0.042964558,0.055508042,0.045398234,0.047793065,0.140889188,0.124639172,0.115042732,0.105997403,0.140547492,0.124423061,0.115524835,0.112295082,0.002507701,0.003464471,0.002366563,0.002395163,0.141871351,0.126059596,0.115708431,0.111446237,0.001732092,0,0,0.9006828,1
BALMAIN,0.284298507,0.236973448,0.234144875,0.214778053,0.239496888,0.239496888,0.239792612,0.239792612,0.154092336,0.21552736,0.264066404,0.31664159,0.28202243,0.251479957,0.252693943,0.24612987,0.280911262,0.239273515,0.253445885,0.282786885,0.025842218,0.047688267,0.071101288,0.100789597,0.283351567,0.24956629,0.248641477,0.254514949,0.000653763,1,0,1,1
BANGALOW,0.062686567,0.051706928,0.048191564,0.049719695,0.039808091,0.039808091,0.040181465,0.040181465,0.011346961,0.022429765,0.029480858,0.027986836,0.050430781,0.046569318,0.043908179,0.043766234,0.050110233,0.044280597,0.042288557,0.043852459,0.000309295,0.000663415,0.001070857,0.000849606,0.050629833,0.046451672,0.042014249,0.043702852,0.018376157,1,0,0.78515726,1
BANGOR,0.12238806,0.109103613,0.105801022,0.097049904,0.098807054,0.098807054,0.090084251,0.083259883,0.059889122,0.070173515,0.065132694,0.058314108,0.114402503,0.110118678,0.101599851,0.091420779,0.114826383,0.106877447,0.1014069,0.097540984,0.004492817,0.005401403,0.004671595,0.003534457,0.114661494,0.111281297,0.10275612,0.095747295,0.003813872,0,1,0,0
BANKSTOWN,0.051820896,0.048512677,0.044985472,0.041632203,0.040261929,0.040261929,0.040635126,0.040635126,0.022358101,0.03209211,0.042336885,0.046528868,0.04616274,0.044088628,0.041843855,0.042,0.044920081,0.042531034,0.039230079,0.044918033,0.000851663,0.00125702,0.002078283,0.002273129,0.046283484,0.044128808,0.040832924,0.044601218,0.02491122,1,0,0.99999994,1
BANORA POINT,0.034029851,0.038730285,0.035166817,0.035015164,0.024118257,0.024118257,0.023655217,0.023655217,0.013963355,0.007659628,0.007518191,0.007334203,0.03245845,0.031685178,0.028838611,0.028181818,0.034815359,0.030117471,0.028219558,0.028688525,0.000416558,0.000114246,0.000109134,7.15E-05,0.032496686,0.031903973,0.027883794,0.028774127,0.012149674,1,1,0.9961996,1
BARDIA,0.038507463,0.043920942,0.040376716,0.037037037,0.027489627,0.027489627,0.02786779,0.02786779,0.015910933,0.006666903,0.009829916,0.01531396,0.035407278,0.035511924,0.033514306,0.031935065,0.036422929,0.034283096,0.032684936,0.033401639,0.000505148,9.29E-05,0.000165255,0.000271293,0.035407812,0.03563225,0.032711321,0.032493097,0.01643969,1,0,0.9992284,1
BARGO,0.216716418,0.180475145,0.177437131,0.162760776,0.180497925,0.180497925,0.153596889,0.153596889,0.101230746,0.145613534,0.117919223,0.144823646,0.211025513,0.189194903,0.172722018,0.166103896,0.209259599,0.184578855,0.172783623,0.185655738,0.011711912,0.022112948,0.014638329,0.02127593,0.212271927,0.190814453,0.17275503,0.178127436,0.003535142,1,0,0.9666523,1
BAROOGA,0.115223881,0.106109004,0.102795311,0.094292804,0.073683869,0.073521784,0.07323396,0.07323396,0.026768549,0.02456509,0.027214908,0.034977039,0.101520005,0.093083667,0.087671855,0.081948052,0.102930369,0.092356078,0.085718946,0.082786885,0.001135826,0.000778643,0.000927316,0.001305711,0.101963159,0.093645964,0.087563383,0.085780719,0.002682741,1,0,0.9364201,1
BARRACK HEIGHTS,0.337313433,0.291275704,0.288648432,0.264773458,0.233272822,0.233272822,0.204147764,0.195722618,0.080135234,0.107811235,0.053086885,0.039023037,0.291551801,0.264108925,0.247760208,0.22961039,0.286836304,0.252936766,0.243944213,0.241803279,0.007607974,0.012326557,0.003172652,0.001614252,0.293220759,0.266030971,0.247541937,0.236653323,0.001232711,0,0,1.13E-06,0
BASIN VIEW,0.078208955,0.070672789,0.072237251,0.066262292,0.046939834,0.046939834,0.047310434,0.047180817,0.013563554,0.016180589,0.008039432,0.011348417,0.064511435,0.06055139,0.060071838,0.056311688,0.06393533,0.059818379,0.059946171,0.059836066,0.000399296,0.000378204,0.000120861,0.000156149,0.064710627,0.060393358,0.059529651,0.058089916,0.016139616,0,0,0.9724827,1
BASS HILL,0.065074627,0.060690757,0.057208697,0.052476794,0.050829876,0.050829876,0.050226831,0.050226831,0.036564445,0.03780449,0.045388276,0.05936809,0.061457846,0.061848114,0.05753272,0.054935065,0.060490538,0.062109473,0.059212136,0.063934426,0.001903897,0.001695144,0.002365595,0.00366076,0.061392872,0.061859484,0.055485888,0.053281017,0.018456299,0,1,0,0
BATEAU BAY,0.074149254,0.078159313,0.07474201,0.068559875,0.053650156,0.053650156,0.054018146,0.054018146,0.024116662,0.01819495,0.020914191,0.028218415,0.069765006,0.067098438,0.065511333,0.06138961,0.069446996,0.065650254,0.065451431,0.065163934,0.000960378,0.000461671,0.000581781,0.000863155,0.069846571,0.06687849,0.064225415,0.061187957,0.009475102,0,1,0.9924284,1
BATEHAVEN,0.048955224,0.04941106,0.051698227,0.051557761,0.041169606,0.041169606,0.04154245,0.04154245,0.032805728,0.038033567,0.034028514,0.030682116,0.048498523,0.049381237,0.048057471,0.048077922,0.044805254,0.049925019,0.048201615,0.054098361,0.001586859,0.001714065,0.001389704,0.001013923,0.048391606,0.049016268,0.046466932,0.049489385,0.017099948,1,0,0.010116279,0
BATHURST,0.04238806,0.044919146,0.041378619,0.03795607,0.027489627,0.027489627,0.02786779,0.025275437,0.01380742,0.008211018,0.009100916,0.004884577,0.038294025,0.036597226,0.033524627,0.030701299,0.038719456,0.035511955,0.032297529,0.031967213,0.000409788,0.000126964,0.000146412,3.57E-05,0.038397015,0.037065208,0.03347691,0.032169421,0.016139616,0,0,0,0
BAULKHAM HILLS,0.109253731,0.12657217,0.124837191,0.114511534,0.084802905,0.084802905,0.085158782,0.079714841,0.042443544,0.016088518,0.019376913,0.00679323,0.108220052,0.10616226,0.103443293,0.095714286,0.110876355,0.102516038,0.100399641,0.1,0.002455533,0.000374582,0.00050944,6.26E-05,0.108279465,0.106160314,0.102961489,0.098001136,0.042749777,0,1,0.025488764,0
BAYVIEW,0.072298507,0.070672789,0.067227733,0.061667126,0.053394061,0.053394061,0.053762152,0.053762152,0.023605996,0.023858832,0.032259366,0.043143619,0.067809467,0.063962339,0.061692333,0.058038961,0.070021128,0.06210739,0.061126743,0.061061475,0.000928181,0.00073953,0.001260784,0.00196205,0.067995946,0.064145189,0.061460435,0.060995733,0.00707554,0,1,0.37965477,1
BEACON HILL,0.27761194,0.274306249,0.271616071,0.255583127,0.196058091,0.188926349,0.177252106,0.177252106,0.07025,0.039668395,0.011406384,0,0.25890517,0.238033489,0.225568721,0.214415584,0.255879111,0.229984171,0.223962156,0.225409836,0.005986217,0.001852118,0.000209613,0,0.259970615,0.238435428,0.222688694,0.218686008,0.006550829,1,1,0,0
BEAUMONT HILLS,0.301492537,0.251347574,0.248572287,0.228012131,0.216804979,0.206431535,0.194426442,0.189889825,0.082847262,0.107067574,0.102940741,0.105207837,0.28092826,0.247195129,0.230316667,0.211558442,0.279762998,0.249354328,0.231914199,0.225,0.00808652,0.012162492,0.011247896,0.011298273,0.283048159,0.249538182,0.232230158,0.222385161,0.000399415,0,0,0.000340998,0
BEECROFT,0.385074627,0.321221801,0.318705541,0.292344454,0.268672199,0.249870332,0.239662994,0.23007129,0.108140729,0.10209593,0.100209551,0.087733713,0.338317888,0.300586345,0.284463895,0.261558442,0.331205218,0.298092144,0.281869342,0.274590164,0.013246588,0.011093857,0.010677709,0.007892395,0.340482323,0.302549192,0.28588045,0.272191616,0.000515674,0,0,0,0
BEGA,0.289922388,0.241674985,0.238863841,0.2191067,0.22004668,0.215508299,0.215813351,0.179196371,0.105965245,0.152622475,0.168920129,0.094881532,0.286392128,0.249057056,0.230587094,0.203327273,0.294185192,0.249312672,0.222942664,0.220491803,0.012753289,0.02423923,0.029523846,0.009211945,0.288808068,0.252143253,0.234725933,0.211857107,0.001531503,0,1,0.001297355,0
BELFIELD,0.099701493,0.091135955,0.087766757,0.080507306,0.068335062,0.065845436,0.066208684,0.057031756,0.026784634,0.023919424,0.031498879,0.012103116,0.089162087,0.080158708,0.075917592,0.068675325,0.089679405,0.077793052,0.073036457,0.073688525,0.001136933,0.000742847,0.001207276,0.000175645,0.08963122,0.080747994,0.07629355,0.071142642,0.003813872,0,1,0.9997145,1
BELLA VISTA,0.11641791,0.09862248,0.095281034,0.091995221,0.08454292,0.068983402,0.066753078,0.066753078,0.040981494,0.021414978,0.019135097,0.015890772,0.101049666,0.086866437,0.081169233,0.078441558,0.099485578,0.085853537,0.080009787,0.081967213,0.002311995,0.000611827,0.000498488,0.000290655,0.101869659,0.087246843,0.079793904,0.081024665,0.003183672,1,0,0.004167736,0
BELLEVUE HILL,0.197253731,0.164204432,0.161106102,0.147780535,0.15093361,0.150674274,0.151004537,0.125405055,0.078103719,0.106802763,0.135025303,0.078903399,0.195924409,0.167221063,0.157384088,0.137194805,0.194975198,0.168332917,0.150762581,0.143442623,0.007258989,0.012104334,0.019055322,0.006402991,0.197691085,0.169221705,0.161377969,0.145125705,0.00176362,0,0,0.000274003,0
BELLINGEN,0.081313433,0.104312238,0.100991885,0.092638544,0.077116183,0.074163641,0.069345431,0.069345431,0.050421817,0.024081243,0.017327235,0.023039695,0.101805575,0.09288352,0.086371331,0.080961039,0.104303693,0.090852287,0.086330642,0.086065574,0.003312914,0.00075174,0.000420287,0.000585722,0.102207963,0.093592109,0.086068553,0.08441996,0.002578527,1,0,0.17879227,0
BELMONT NORTH,0.176119403,0.146536235,0.143372408,0.131513648,0.137707469,0.137707469,0.11749838,0.11749838,0.066253178,0.105347963,0.07689863,0.094078062,0.155354742,0.144767999,0.132839272,0.123194805,0.149549881,0.137715571,0.130576625,0.123770492,0.005385095,0.011787317,0.006413903,0.009058532,0.156098845,0.146213427,0.134112099,0.131610585,0.006550829,1,0,0.83725137,1
BELMONT,0.124537313,0.103413855,0.100090171,0.091811414,0.091351141,0.074170124,0.072585872,0.071937784,0.03994923,0.026893025,0.030936138,0.038382326,0.111999208,0.095717991,0.090004542,0.083844156,0.109819952,0.095226193,0.091835902,0.092622951,0.002213184,0.00091458,0.001168422,0.001563216,0.112976028,0.096393263,0.090080512,0.088000211,0.003477806,0,1,0.040181875,0
BELMORE,0.154029851,0.14803354,0.144875263,0.140703979,0.118257261,0.118257261,0.11860013,0.11860013,0.06394952,0.063885514,0.075591356,0.073372077,0.141634931,0.138735412,0.132054828,0.12961039,0.138067242,0.134383071,0.127722046,0.13442623,0.005052905,0.004518627,0.006206745,0.00554927,0.141764675,0.138847945,0.130454537,0.137040413,0.039079895,1,0,2.98E-08,0
BELROSE,0.135522388,0.112597325,0.109307685,0.10026652,0.086488589,0.080005187,0.069345431,0.069345431,0.0260942,0.032052291,0.002083863,0.005774016,0.110311392,0.097268422,0.088972379,0.084077922,0.106145508,0.091352162,0.088084169,0.089098361,0.001089899,0.001254194,1.90E-05,4.73E-05,0.111084728,0.098023541,0.087763299,0.085701452,0.003477806,0,1,2.98E-06,0
BENSVILLE,0.193074627,0.160710721,0.157599439,0.144563919,0.170124481,0.170124481,0.152300713,0.138042774,0.107796528,0.160444098,0.148755635,0.127804023,0.207386038,0.182246152,0.162338467,0.142909091,0.209948558,0.186869949,0.161161406,0.148360656,0.013167919,0.026727204,0.023021065,0.016605719,0.209137017,0.185771835,0.166966541,0.15397725,0.001618079,0,0,1,1
BERALA,0.094447761,0.081653025,0.078248672,0.071776491,0.067297718,0.067297718,0.067660402,0.067660402,0.033095565,0.041879008,0.055459892,0.071443012,0.082964891,0.074801263,0.070558606,0.067558442,0.081457836,0.071940348,0.065410652,0.064508197,0.001610316,0.002047233,0.00344515,0.00526589,0.083388116,0.075072604,0.069530015,0.069781882,0.004991468,0,1,0,0
BERESFIELD,0.159402985,0.134058694,0.130848612,0.120025733,0.106262967,0.101076245,0.101425794,0.101425794,0.036557413,0.039009874,0.051006783,0.064694848,0.135962317,0.122935107,0.117294909,0.112077922,0.136459673,0.122177789,0.115080336,0.119262295,0.001903278,0.001795871,0.002942987,0.004332992,0.136652264,0.122863352,0.114915581,0.112863805,0.004607611,1,0,0.13725859,0
BERKELEY VALE,0.120119403,0.099720503,0.096383128,0.088410992,0.081950207,0.077411826,0.077770577,0.077770577,0.034816263,0.041866082,0.047603909,0.061103013,0.105643708,0.093533292,0.088353082,0.082545455,0.102471064,0.090644006,0.086819998,0.084180328,0.001752984,0.002046064,0.0025858,0.003873489,0.106288425,0.094061404,0.088494811,0.087088634,0.002698879,1,0,0.5121784,1
BERKELEY,0.122985075,0.102116191,0.098787697,0.090616671,0.074818465,0.074818465,0.075178224,0.075178224,0.01381606,0.030544095,0.040087885,0.047383596,0.104433136,0.093575576,0.088827877,0.082155844,0.104308286,0.093976506,0.088410407,0.084262295,0.000410162,0.001149449,0.00187836,0.002355287,0.105107676,0.09406028,0.088712902,0.085106945,0.00323574,0,1,0.001466453,0
BEROWRA,0.09480597,0.090636854,0.087265805,0.08004779,0.066390041,0.066390041,0.066753078,0.066753078,0.024885974,0.029320603,0.037377412,0.048385259,0.086747928,0.080876135,0.076318071,0.071298701,0.086303509,0.080229943,0.073688932,0.070081967,0.00100985,0.001067795,0.001650762,0.002453424,0.087093286,0.081512763,0.076613416,0.075872274,0.005475169,1,0,0.5858319,1
BEVERLY HILLS,0.146268657,0.128868038,0.12734195,0.116809117,0.093620332,0.093620332,0.09397278,0.09397278,0.02807251,0.038608823,0.042276359,0.052728214,0.118718657,0.111432317,0.110585855,0.103116883,0.115924123,0.104807132,0.107943887,0.103278689,0.001227171,0.001762037,0.002072771,0.002902076,0.1191102,0.11080773,0.108827218,0.102691134,0.006510171,0,0,0.9999994,1
BEXLEY,0.14280597,0.118686365,0.115419297,0.105872622,0.096213693,0.085451245,0.08522359,0.08139987,0.036948195,0.034083649,0.038221655,0.033163104,0.125699619,0.107127756,0.10074935,0.092298701,0.126125299,0.107139882,0.098870402,0.094795082,0.001937829,0.00140241,0.001720088,0.001177987,0.126803767,0.107899651,0.101119077,0.096039264,1,0,0,1,1
BILAMBIL HEIGHTS,0.313432836,0.287282891,0.284640818,0.270747174,0.259595436,0.196382261,0.196532728,0.196532728,0.146935,0.036155214,0.040311869,0.028042796,0.291291839,0.253093815,0.242878081,0.232818182,0.283092963,0.252103641,0.240722616,0.24557377,0.023607151,0.001561997,0.00189782,0.000852871,0.293119601,0.253019106,0.239733839,0.239222914,0.000430686,1,0,0,0
BILGOLA PLATEAU,0.582089552,0.553803154,0.552149083,0.506479184,0.526711618,0.526711618,0.420933247,0.420933247,0.328269341,0.446915986,0.185742573,0.221056945,0.597841923,0.563356261,0.493022584,0.471298701,0.585430829,0.528242939,0.484789169,0.504098361,0.111309543,0.201541213,0.035566685,0.049286107,0.600360904,0.57121784,0.489059121,0.488856301,0.000311517,1,1,0.000111759,0
BIRCHGROVE,0.098507463,0.083649431,0.08025248,0.073614557,0.057637448,0.057637448,0.056383668,0.050874919,0.010873683,0.02033139,0.017915463,0.00679323,0.080889149,0.072560185,0.067235044,0.061688312,0.081572662,0.070857286,0.065125194,0.06557377,0.000291331,0.000559,0.000445019,6.26E-05,0.081414114,0.073265806,0.067185541,0.063783969,0.002698879,0,0,1.49E-07,0
BLACKETT,0.082985075,0.085645837,0.082256287,0.084642956,0.06379668,0.06379668,0.064160726,0.064160726,0.036819103,0.027685641,0.034011584,0.02600104,0.080019943,0.078522298,0.074150531,0.072987013,0.080654051,0.076189286,0.073077237,0.074590164,0.001926382,0.000963319,0.001388441,0.000737816,0.080038963,0.078381505,0.071660942,0.073230021,0.00762909,1,1,5.08E-05,0
BLACKHEATH,0.100895522,0.102615292,0.099288648,0.091076188,0.067686722,0.067686722,0.065327285,0.06529488,0.024324485,0.014079396,0.010747066,0.013458765,0.091438194,0.086239217,0.082314933,0.077077922,0.092595995,0.084291427,0.081539026,0.080327869,0.000973627,0.000299724,0.000190461,0.000213519,0.091701284,0.086545824,0.081647675,0.079241145,0.006856582,0,1,0.35256612,1
BLACKTOWN,0.170865672,0.142144141,0.138964032,0.127469902,0.106392635,0.100752075,0.100453662,0.09235256,0.021834476,0.032274326,0.033179348,0.019951063,0.145320966,0.127050798,0.119792742,0.110155844,0.145645784,0.124802133,0.11732322,0.118032787,0.000820468,0.001269995,0.001327049,0.00044573,0.146458273,0.127868867,0.119881686,0.113801805,0.001562267,0,0,0.9999236,1
BLAKEHURST,0.105671642,0.09263326,0.089269612,0.081885856,0.06236709,0.06236709,0.062731692,0.062731692,0.012443832,0.016592904,0.022162536,0.029356657,0.091126161,0.082478012,0.078482515,0.073505195,0.092357156,0.082391902,0.079679471,0.080491803,0.000352623,0.000394633,0.000643979,0.000931306,0.091642362,0.082870053,0.078327018,0.077032883,0.004701452,1,0,0.000482261,0
BLAXLAND,0.339343284,0.282990617,0.292656046,0.268449591,0.225233402,0.225233402,0.225534673,0.215165262,0.076564388,0.111420362,0.104063233,0.100432725,0.294399749,0.265898968,0.267990587,0.246493506,0.291015984,0.262267766,0.268819835,0.267213115,0.006999962,0.013138396,0.011486533,0.010307066,0.295915322,0.265079788,0.269532741,0.257262891,0.000503787,0,0,0,0
