suburb_postcode,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,is_up2
BLACKHEATH,507500,559000,562000,562000,617500,605000,605000,605000,30788.4808906766,15849.9912372917,16378.3393541592,17568.9119374726,572833.333333333,577666.666666667,580500,584000,577500,577500,577500,585000,947930555.555556,251222222.222222,268250000,308666666.666667,107859.090909091,254352.941176471,472045.454545455,865250,100.79328722349,0,1,1
BLACKTOWN,650000,650000,650000,650000,767500,747000,738000,687500,34695.2316208182,33870.3615110451,31643.2753519606,16201.8517460197,714508.333333333,702916.666666667,688875,672500,723250,701250,683750,680000,1203759097.22222,1147201388.88889,1001296875,262500000,134858.077922078,311994.117647059,569795.454545455,1018125,33.9695915110733,0,0,0
BLAKEHURST,1300000,1300000,1300000,1300000,2049500,2035000,1840000,1835000,208545.991463647,230496.143616812,232392.448242192,252201.418623202,1758333.33333333,1790833.33333333,1702500,1656666.66666667,1835000,1837500,1835000,1835000,43491430555.5555,53128472222.2222,54006250000,63605555555.5556,331805.974025974,801470.588235294,1429772.72727273,2618750,20.2319943710182,0,1,0
BLAXLAND,665000,725000,725000,725000,788125,785000,785000,767062.5,36567.8191020494,21341.1164391195,24133.7571136753,17942.0604926587,731240.625,747427.083333333,753015.625,742354.166666667,733500,737500,751031.25,735000,1337205393.88021,455443250.868056,582438232.421875,321917534.722222,137666.522727273,329939.705882353,620468.75,1121546.875,59.6980487719837,0,0,1
BLAYNEY,220000,278000,278000,278000,302500,302500,302500,300000,22374.0591825792,9376.38878602347,10656.5707429736,9489.76056365784,277729.166666667,293000,290750,286833.333333333,281250,297500,291250,282500,500598524.305556,87916666.6666667,113562500,90055555.5555555,52207.7922077922,129473.529411765,238159.090909091,425875,186.74054586651,0,0,1
BLIGH PARK,610000,650000,650000,650000,720000,720000,720000,720000,30986.7803354197,22358.3504161942,26170.1165454035,29744.2804959579,670833.333333333,677250,676500,679166.666666667,667500,668000,668000,667500,960180555.555555,499895833.333333,684875000,884722222.222222,126328.701298701,298370.588235294,550386.363636364,1005625,55.5324717285657,0,0,1
BLUE HAVEN,439000,490000,492000,492000,535000,514000,502500,502500,24401.0455576304,7851.04380887592,3889.08729652601,4478.3429475148,493229.166666667,499333.333333333,498000,498166.666666667,494750,498750,498750,500000,595411024.305555,61638888.8888889,15125000,20055555.5555556,92877.012987013,220514.705882353,407886.363636364,749875,76.6157628802206,1,0,0
BOAMBEE EAST,421250,445000,445000,477000,515000,515000,510000,510000,32354.6257211478,23730.6939075395,24905.7598759805,13765.8998979362,462066.666666667,487750,482875,495500,455500,489750,488250,499500,1046821805.55556,563145833.333333,620296875,189500000,86859.4285714286,214917.647058824,391159.090909091,740625,425.719569635981,1,0,1
BOGANGAR,545000,725000,732500,732500,792000,792000,792000,750000,65728.4370007043,22157.8930005139,23836.3561602859,7728.01541291309,691541.666666667,745333.333333333,752375,739166.666666667,710750,736250,742500,735000,4320227430.55556,490972222.222222,568171875,59722222.2222222,129787.402597403,328770.588235294,619295.454545455,1109375,651.650842280119,0,1,0
BOLTON POINT,336250,360000,360000,360000,665000,665000,665000,590000,103007.193990948,107916.023164105,128694.587590155,101453.054277445,455091.666666667,508083.333333333,502125,447833.333333333,423125,520000,491750,393500,10610482013.8889,11645868055.5556,16562296875,10292722222.2222,85376.5844155844,226529.411764706,424113.636363636,663375,97.9631028457997,0,1,0
BOLWARRA HEIGHTS,532500,560000,605000,605000,707500,707500,707500,652500,48806.7867263924,47989.0757244697,37671.8976824901,19435.0771087285,606708.333333333,623583.333333333,649125,629666.666666667,598500,618250,642000,631500,2382102430.55556,2302951388.88889,1419171875,377722222.222222,114135.584415584,274200,538568.181818182,956375,127.168934458739,0,0,0
BOMADERRY,375000,407000,407000,407000,494500,494500,494500,470000,37549.6661843425,26878.4558501579,32230.6143286162,29127.116041395,445708.333333333,463583.333333333,459750,448166.666666667,461250,470000,468750,467500,1409977430.55556,722451388.888889,1038812500,848388888.888889,83828.1818181818,205564.705882353,382068.181818182,687375,145.8283350827,0,1,0
BONDI JUNCTION,1700000,1855000,1855000,1855000,2280000,2280000,2280000,2280000,202549.102414424,147396.974377209,170564.320712158,184405.95314565,2013166.66666667,2125416.66666667,2146250,2111666.66666667,2083750,2175000,2225000,2200000,41026138888.8889,21725868055.5556,29092187500,34005555555.5556,378003.376623377,935323.529411765,1746136.36363636,3061250,4.19192377798873,0,1,1
