suburb_postcode,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,is_up2
CHISHOLM,562000,599900,645000,645000,656000,656000,656000,656000,32151.735524264,18816.3640365389,4527.69256906871,4496.91252107735,615241.666666667,637233.333333333,649000,650333.333333333,622500,645000,647500,650000,1033734097.22222,354055555.555556,20500000,20222222.2222222,115717.298701299,280300.588235294,530363.636363636,974000,121.408885723006,1,0,1
CLAREMONT MEADOWS,607500,665000,665000,665000,760000,760000,750000,750000,41895.1236886692,37015.3871908547,31893.3770554327,35668.2242650545,695583.333333333,709166.666666667,706250,701666.666666667,692500,705000,705000,690000,1755201388.88889,1370138888.88889,1017187500,1272222222.22222,131018.311688312,313147.058823529,576363.636363636,1037500,50.1896255716042,0,0,1
COBAR,117500,152500,152500,152500,234500,234500,234500,225000,30320.5959978802,27645.699886641,32104.0787907082,29650.7447910953,188125,195416.666666667,201125,190000,188750,191250,208750,192500,919338541.666667,764284722.222222,1030671875,879166666.666667,35421.038961039,85741.1764705882,164295.454545455,266875,604.410694295916,0,1,1
COBBITTY,722500,722500,722500,722500,799000,799000,755000,755000,23753.3955905957,24519.9748504493,13298.7017693458,15034.6821272239,765787.5,760500,745312.5,743750,757500,754375,751875,753750,564223802.083333,601229166.666667,176855468.75,226041666.666667,144461.480519481,336873.529411765,611647.727272727,1123437.5,70.4592681297323,1,1,0
COFFS HARBOUR,415500,480000,490000,490000,518000,518000,518000,518000,28473.7635084183,14299.6212071043,11913.0967846316,13083.0679378602,477625,499250,506375,508500,482500,495000,508750,517500,810755208.333333,204479166.666667,141921875,171166666.666667,89792.4675324675,219647.058823529,413704.545454546,762625,438.716450553917,1,0,1
COLEBEE,814500,930000,930000,930000,1047500,1047500,1030000,1030000,71286.6468863949,47007.6825872348,39607.4487943871,43204.9379893857,955229.166666667,985833.333333333,962500,970000,960375,983750,945000,950000,5081786024.30555,2209722222.22222,1568750000,1866666666.66667,179790.584415584,436985.294117647,790000,1480000,40.0191761641593,1,0,0
COLLAROY,1860000,1960500,2671250,2671250,2935000,2935000,2935000,2935000,356223.763044577,335811.840193119,101886.023176636,107724.249307614,2461104.16666667,2687791.66666667,2829062.5,2805416.66666667,2429500,2830000,2855000,2810000,126895369357.639,112769592013.889,10380761718.75,11604513888.8889,461235,1175588.23529412,2333125,4274062.5,13.9172112630915,1,0,0
COLYTON,558750,582000,582000,582000,650000,650000,618000,618000,29020.846419595,22932.4661445781,13095.0551258863,15116.216457831,612510.416666667,610729.166666667,597312.5,597500,617000,607375,594625,592500,842209526.909722,525898003.472222,171480468.75,228500000,115480.12987013,270518.382352941,490295.454545455,905250,45.3049331390479,1,0,0
CONCORD WEST,1502500,1502500,1502500,1502500,2300000,1870000,1870000,1800000,245264.06899843,138039.975087734,145165.584333891,122344.004984125,1859625,1747583.33333333,1698125,1640833.33333333,1846500,1814000,1710000,1620000,60154463541.6667,19055034722.2222,21073046875,14968055555.5556,351509.61038961,777673.529411765,1413181.81818182,2506250,15.8302245767514,0,0,1
CONCORD,1650000,1650000,1650000,1650000,2250000,2250000,2110000,1996000,156211.989821169,194211.010673099,173220.055132193,141367.134322892,2010291.66666667,1983500,1897750,1827000,2040000,2028000,1915500,1835000,24402185763.8889,37717916666.6667,30005187500,19984666666.6667,379668.051948052,885100,1587727.27272727,2827000,14.1209216062939,0,0,0
CONDELL PARK,822500,822500,822500,822500,1074000,1074000,877500,872500,77712.9020104699,84599.1056723152,23932.4407186146,21489.3384418103,909916.666666667,901791.666666667,851437.5,842750,880250,875000,852875,833250,6039295138.88889,7157008680.55555,572761718.75,461791666.666667,171783.636363636,401520.588235294,700784.090909091,1273937.5,23.5073170101787,0,0,1
CONDOBOLIN,135000,140000,140000,140000,200000,200000,200000,200000,20154.0508059519,21991.9492845299,24494.8974278318,24944.3825784929,160291.666666667,161750,160000,166666.666666667,155500,155000,150000,160000,406185763.888889,483645833.333333,600000000,622222222.222222,30223.6363636364,71455.8823529412,130000,255000,493.356243508685,1,1,0
COOKS HILL,820500,1007500,1010500,1010500,1225000,1160500,1160500,1160500,111989.830887551,61704.5491749911,66842.1648362768,67552.8599608402,1040333.33333333,1065583.33333333,1084000,1065333.33333333,1037500,1037500,1082500,1025000,12541722222.2222,3807451388.88889,4467875000,4563388888.88889,195862.467532468,469679.411764706,892659.090909091,1601625,114.008123890512,0,1,0
COOMA,210000,257500,286000,286000,356500,356500,356500,356500,40238.1528026849,30474.175086821,29310.8341744141,31518.0724170894,268479.166666667,299208.333333333,306000,312166.666666667,263750,290750,290750,294000,1619108940.97222,928675347.222222,859125000,993388888.888889,50288.051948052,131519.117647059,249045.454545455,470250,322.363135380648,1,1,0
COONABARABRAN,144500,144500,172500,172500,209000,209000,209000,209000,18048.5817194408,20215.7202993666,12982.5604177296,14979.6157790809,168312.5,178041.666666667,189375,189666.666666667,165875,180000,188000,187500,325751302.083333,408675347.222222,168546875,224388888.888889,31615.9090909091,77927.9411764706,155840.909090909,289875,350.443282015888,1,0,1
COORANBONG,430000,465000,465000,500000,565000,565000,530000,530000,34747.0462373742,30196.1182199891,24109.1269024824,12247.4487139159,505933.333333333,514166.666666667,502500,515000,505000,512500,507500,515000,1207357222.22222,911805555.555556,581250000,150000000,95271.5324675325,227294.117647059,407045.454545455,768750,86.2118993901006,1,1,0
COOTAMUNDRA,188000,188000,222000,222000,277000,277000,277000,239250,24754.9360257483,26521.1197287495,21298.0156059197,7113.1724442911,221270.833333333,229125,241687.5,229916.666666667,221000,225250,233875,228500,612806857.638889,703369791.666667,453605468.75,50597222.2222222,41613.4415584416,100605.882352941,200170.454545455,340562.5,322.940960038921,0,1,1
COPACABANA,720000,845000,845000,845000,1083250,1010000,935000,935000,90557.5956848581,58520.9121644182,35881.7502360183,41298.3723112129,896201.333333333,896777.666666667,875000,876666.666666667,874333,870333,860000,850000,8200678136.22222,3424697160.55556,1287500000,1705555555.55556,168856.44,398054.847058824,719545.454545455,1337500,44.1043134687982,1,0,0
CORDEAUX HEIGHTS,771250,771250,771250,771250,935000,935000,825000,825000,49954.1934273012,52439.2009060652,21090.8562829962,22646.1304028353,836020.833333333,839375,806562.5,802083.333333333,822500,822500,815000,810000,2495421440.97222,2749869791.66667,444824218.75,512847222.222222,157622.337662338,372522.058823529,660454.545454545,1199375,15203.2192252038,0,0,1
CORLETTE,565000,680000,685000,685000,752500,750000,750000,750000,45481.3520623196,23830.4194022868,26677.4717692663,30180.9358517739,685312.5,697666.666666667,704250,707333.333333333,686000,688000,691000,687000,2068553385.41667,567888888.888889,711687500,910888888.888889,128998.831168831,307576.470588235,578318.181818182,1077250,151.392242690569,1,0,0
COROWA,205000,205000,205000,235000,255000,252500,245000,245000,17157.9164592389,15288.8848514207,15493.4461950852,4089.28138212843,230291.666666667,237000,231125,239833.333333333,232500,242250,237250,239500,294394097.222222,233750000,240046875,16722222.2222222,43346.6233766234,104629.411764706,186272.727272727,357250,497.192761883263,1,1,1
CORRIMAL,690000,725000,725000,725000,950000,950000,950000,935000,83959.1992304397,86381.7431842838,103016.988890183,93660.1421215141,789437.5,835833.333333333,840000,803333.333333333,783750,827500,842500,750000,7049147135.41667,7461805555.55555,10612500000,8772222222.22222,148410.649350649,371029.411764706,705681.818181818,1251250,66.5019525562699,0,0,1
COWRA,185000,185000,245000,253500,292000,292000,292000,292000,25213.7649107035,31996.6361079133,17899.0223196687,17283.5824475779,238354.166666667,248583.333333333,262000,267666.666666667,232500,255500,255500,257500,635733940.972222,1023784722.22222,320375000,298722222.222222,44806.2337662338,108714.705882353,212636.363636364,400500,239.296720330023,1,1,0
CRANEBROOK,600000,600000,600000,600000,690000,690000,647500,647500,30017.7073754207,34106.4510027062,18910.9756490774,20043.0093105357,646285.416666667,646000,624500,620166.666666667,642500,642500,625250,613000,901062756.076389,1163250000,357625000,401722222.222222,121899.272727273,286944.117647059,514295.454545455,942125,55.5104609459431,1,0,0
CREMORNE,2275000,2275000,2275000,2275000,3965000,3965000,3000000,3000000,469104.836067826,513363.094375381,299674.302368421,296038.66113886,2813666.66666667,2990000,2731250,2641666.66666667,2675000,3000000,2825000,2650000,220059347222.222,263541666666.667,89804687500,87638888888.8889,529412.077922078,1340058.82352941,2276136.36363636,4056250,4.63556155538865,0,1,0
CRESTWOOD,452500,555000,560000,560000,620500,620500,620500,620500,58460.2005819629,24395.4686138407,25776.3821161931,27417.5531771568,524812.5,579666.666666667,587625,581833.333333333,524375,568750,585000,565000,3417595052.08333,595138888.888889,664421875,751722222.222222,98450.1948051948,255785.294117647,485113.636363636,887875,244.463051350892,1,0,0
CROMER,1282500,1282500,1282500,1282500,1646000,1640000,1490000,1435000,118740.518627337,118729.530399513,76941.0285543415,62727.3642218627,1491458.33333333,1465416.66666667,1395625,1364166.66666667,1515000,1462500,1405000,1375000,14099310763.8889,14096701388.8889,5919921875,3934722222.22222,281523.246753247,653647.058823529,1157386.36363636,2084375,12.5340485638344,0,0,0
CRONULLA,1850000,1920000,1920000,1920000,2525000,2415000,2415000,2355000,211192.098409376,190889.72965796,191458.219985458,180015.431437295,2148708.33333333,2156666.66666667,2222500,2158333.33333333,2162500,2162500,2277500,2200000,44602102430.5556,36438888888.8889,36656250000,32405555555.5556,404535.844155844,950147.058823529,1848636.36363636,3307500,28.2009202129332,0,1,0
CROOKWELL,255500,308250,308250,308250,405000,405000,395000,350000,44485.2696827838,36341.0972209456,31557.1777690908,17198.594903848,317012.5,352041.666666667,346812.5,330750,300625,342000,342000,334000,1978939218.75,1320675347.22222,995855468.75,295791666.666667,59492.2077922078,156404.411764706,287409.090909091,492125,188.290607225635,0,0,1
CROWS NEST,1725000,1725000,1725000,1725000,2400000,2400000,2400000,2400000,221821.762000986,219850.406842673,263827.00297733,297442.804959579,2074041.66666667,2046416.66666667,2016250,1983333.33333333,2100500,2101750,1970000,1825000,49204894097.2222,48334201388.8889,69604687500,88472222222.2222,391390,909611.764705882,1684772.72727273,3118750,6.91046232750907,1,0,1
CROYDON PARK,1198000,1198000,1198000,1198000,1532500,1425000,1385000,1385000,116017.125995715,78009.3032201217,67927.3508978526,77176.205313987,1350895.83333333,1309916.66666667,1276500,1283500,1307375,1298000,1261500,1267500,13459973524.3056,6085451388.88889,4614125000,5956166666.66667,254934.155844156,580832.352941177,1051000,1972000,14.9077548624141,1,0,0
CROYDON,1271000,1271000,1271000,1271000,2295000,1600000,1580000,1580000,299986.42041025,130855.41214978,122491.83646268,139332.535882885,1594041.66666667,1422833.33333333,1371500,1383666.66666667,1552500,1393000,1317500,1300000,89991852430.5556,17123138888.8889,15004250000,19413555555.5556,301708.701298701,630305.882352941,1117500,2068250,13.4605904612081,0,1,0
CULBURRA BEACH,495000,547500,547500,547500,691250,670000,630000,620000,62155.3378585102,42272.6763603473,36071.7600762702,31644.7292434125,583729.166666667,608750,589375,575833.333333333,577500,622500,590000,560000,3863286024.30556,1786979166.66667,1301171875,1001388888.88889,109835.064935065,270117.647058824,482613.636363636,845625,126.11448510659,0,1,1
CULCAIRN,125000,130000,130000,130000,232500,232500,162000,162000,28819.4511378841,31918.4072632427,12749.3872401775,14636.3322667334,166791.666666667,166583.333333333,149875,150666.666666667,164750,161000,153750,160000,830560763.888889,1018784722.22222,162546875,214222222.222222,31534.9350649351,75023.5294117647,123863.636363636,234000,432.932792580703,1,0,0
CUMBALUM,490000,490000,625000,625000,729500,729500,729500,729500,58795.0182129972,73080.6726995737,39222.721412467,44622.4905923758,619750,621916.666666667,664125,668000,620000,637250,651000,649500,3456854166.66667,5340784722.22222,1538421875,1991166666.66667,116731.558441558,271450,545954.545454545,1022000,595.863399021096,1,0,1
CURRANS HILL,578500,618500,618500,618500,695000,695000,695000,655000,29968.357154765,22988.674747942,27650.4407740636,15189.5431867526,637541.666666667,652750,652875,638833.333333333,644000,650000,649000,643000,898102430.555555,528479166.666667,764546875,230722222.222222,120038.701298701,288635.294117647,539659.090909091,967375,50.9811364800172,0,0,0
DALMENY,360000,395000,395000,395000,530000,530000,522500,522500,58094.9145555979,46495.2207818777,50878.9924723358,58416.6072277396,440458.333333333,483333.333333333,474375,477500,436500,493750,490000,515000,3375019097.22222,2161805555.55556,2588671875,3412500000,82564.4155844156,212882.352941176,381818.181818182,686250,282.35532449314,0,1,0
DAPTO,470000,522000,522000,522000,580000,580000,580000,567500,33609.8622070426,22138.1138192083,25532.7608182116,20777.926321513,541108.416666667,553841.833333333,548625,538166.666666667,553750,564275.5,546250,525000,1129622837.57639,490096083.472222,651921875,431722222.222222,101862.46987013,245336.552941176,453795.454545455,818625,84.7761448325983,0,0,0
DARLINGHURST,1400000,1400000,1400000,1400000,2200000,2200000,2200000,2200000,224910.491455305,256541.162497474,286598.45058025,330876.36160153,1884250,1872083.33333333,1840625,1837500,1906250,1881250,1881250,1912500,50584729166.6667,65813368055.5556,82138671875,109479166666.667,355697.532467532,831985.294117647,1543181.81818182,2956250,4.90040538950717,1,0,0
DEAN PARK,555000,555000,555000,555000,660000,655000,655000,570000,40559.3005072682,45056.3882817964,40058.5508974052,6236.09564462324,624395.833333333,608125,586250,563333.333333333,649375,609375,567500,565000,1645056857.63889,2030078125,1604687500,38888888.8888889,117953.246753247,270713.235294118,486590.909090909,848750,40.0191761641593,0,0,0
DEE WHY,890000,890000,890000,890000,1740000,1606000,1323000,1219000,268330.331536005,216308.670396933,160587.982115724,146765.875537273,1438726.66666667,1222453.33333333,1153000,1096333.33333333,1578000,1199500,1199500,1180000,72001166822.2222,46789440888.8889,25788500000,21540222222.2222,273534.54025974,545724,943863.636363636,1562250,12.5340485638344,0,1,1
DENHAM COURT,595000,618000,618000,618000,781500,709000,706414,706414,57668.4682615976,30315.3101125854,33188.8367791039,37660.1687492531,677951.166666667,678735.666666667,673353.5,669804.666666667,684500,684500,684500,685000,3325652231.63889,919018027.222222,1101498886.75,1418288310.22222,127684.700779221,300352.752941176,555912.272727273,1026810.5,40.9905598913763,1,0,0
DENILIQUIN,178500,178500,178500,178500,228250,228250,228250,228250,13910.5525491341,16186.2531694851,19110.1862562875,20549.060535433,202166.666666667,198875,201562.5,205583.333333333,198000,193500,199750,210000,193503472.222222,261994791.666667,365199218.75,422263888.888889,38127.0779220779,87320.5882352941,162988.636363636,303812.5,597.572930683365,1,0,1
DENISTONE,1457500,1457500,1457500,1457500,2177500,1869000,1869000,1869000,191303.079054038,138476.356786597,159222.083502886,176272.989044455,1750916.66666667,1676416.66666667,1651625,1625500,1707500,1700000,1640000,1550000,36596868055.5556,19175701388.8889,25351671875,31072166666.6667,330632.727272727,743814.705882353,1372954.54545455,2518000,16.834322276965,1,0,1
DOONSIDE,600500,600500,600500,600500,737500,737500,663250,650000,39815.9979603223,46261.8462681602,23629.0299142284,20338.5409997866,668739.583333333,665145.833333333,635968.75,626875,672000,656625,640062.5,630125,1585313693.57639,2140158420.13889,558331054.6875,413656250,126193.993506494,296026.470588235,523721.590909091,945281.25,37.185853273779,0,0,1
DORA CREEK,499167,499167,499167,499167,710000,710000,710000,710000,69160.710877064,70152.8108736366,84978.8428327163,89314.1843767769,606222.25,615361.166666667,608041.75,587722.333333333,620000,630000,611500,554000,4783203929.02083,4921416873.47222,7221403729.1875,7977023530.88889,114346.801298701,273956.882352941,512613.681818182,934291.75,87.615824387524,1,0,0
DORRIGO,189000,305000,308985,318000,382000,382000,360000,360000,46017.4904455873,28934.0659109446,22195.0384024786,18638.3714119257,311790.416666667,338080.833333333,335371.25,344166.666666667,309492.5,336250,336250,354500,2117609426.90972,837180170.138889,492619729.6875,347388888.888889,58464.3194805195,148775.323529412,271745.909090909,514875,413.103427236533,1,0,1
DOVER HEIGHTS,3200000,3225000,3225000,3225000,4900000,4612500,4612500,4340000,630565.887205801,474168.799424026,528765.377288217,512655.139120507,3887520.83333333,3991708.33333333,4115062.5,3949250,3745000,4091375,4311375,4282750,397613338107.639,224836050347.222,279592824218.75,262815291666.667,731069.285714286,1765326.47058824,3460170.45454545,6188312.5,1.79326820552811,0,1,0
DRUMMOYNE,1640000,1640000,1640000,1640000,2790000,2185000,2105000,2065000,280710.148551847,204402.924527893,194438.293553508,176839.538062681,2117250,1988333.33333333,1897500,1828333.33333333,2127500,2085000,1922500,1780000,78798187500,41780555555.5556,37806250000,31272222222.2222,400736.883116883,888647.058823529,1590681.81818182,2848750,8.42170000080058,0,0,0
DUBBO,340000,354250,359650,359650,375000,375000,375000,375000,10619.0171063783,6782.04840410001,5829.16964498375,6459.66115382395,356679.166666667,364108.333333333,367162.5,366216.666666667,357325,362875,367000,364000,112763524.305556,45996180.5555556,33979218.75,41727222.2222222,67181.1168831169,160341.470588235,299965.909090909,545487.5,301.725446010697,0,1,1
DULWICH HILL,1230500,1336667,1336667,1336667,1620000,1552500,1552500,1452500,114369.77157992,73747.2821429524,83375.9395250662,48687.9209044708,1444055.58333333,1437611.16666667,1427916.75,1386389,1451250,1433250,1411250,1370000,13080444651.2431,5438661623.47222,6951547291.6875,2370513642,272121.346753247,636333.352941177,1181136.40909091,2087916.75,11.9326792083491,0,1,0
DUNDAS VALLEY,960000,960000,960000,960000,1305500,1235000,1150000,1150000,102353.579362587,95926.0421134717,77776.9245984952,78845.8411500991,1173125,1116833.33333333,1066500,1045000,1175000,1140500,1078000,1025000,10476255208.3333,9201805555.55556,6049250000,6216666666.66667,221813.506493506,498252.941176471,887090.909090909,1615000,21.0062531767718,1,0,0
DUNGOG,270000,270000,270000,313500,382500,382500,382500,382500,26880.5029895689,35818.6016229308,40228.2549957117,32179.1858194082,323054.166666667,321666.666666667,320250,337000,322500,314250,314250,315000,722561440.972222,1282972222.22222,1618312500,1035500000,60930.012987013,141682.352941176,260590.909090909,522750,184.543351227696,1,0,0
DURAL,1114250,1220000,1240000,1240000,1475000,1335000,1335000,1285000,89631.2735097088,36359.0314319107,33726.8439080801,20138.409955991,1289520.83333333,1271750,1285000,1268333.33333333,1275250,1275250,1282500,1280000,8033765190.97222,1321979166.66667,1137500000,405555555.555556,243177.402597403,560838.235294118,1055681.81818182,1901250,27.4844515869276,0,0,1
EAGLE VALE,525000,550000,550000,561000,635000,617500,595000,595000,34212.7737678325,22519.8986084159,16813.3131773604,13952.2996909709,583833.333333333,581750,570250,577000,591000,583500,568000,575000,1170513888.88889,507145833.333333,282687500,194666666.666667,110041.558441558,256952.941176471,463181.818181818,857000,46.2887679424145,1,1,1
EARLWOOD,1200000,1200000,1200000,1200000,1499141.5,1446000,1320000,1305000,97457.0131731432,78102.7190450001,46283.771453934,44783.429475148,1376282.625,1323083.33333333,1276250,1261666.66666667,1404250,1312500,1292500,1280000,9497869416.63021,6100034722.22222,2142187500,2005555555.55556,260050.663896104,587832.352941177,1051818.18181818,1912500,14.3691562481975,0,1,0
EAST ALBURY,357500,395000,395000,395000,440500,435000,435000,435000,22864.9416258943,13123.3464566864,15411.0350074224,16499.1582276861,409833.333333333,418333.333333333,420000,416666.666666667,415000,420000,425000,420000,522805555.555556,172222222.222222,237500000,272222222.222222,77214.5454545455,184823.529411765,346363.636363636,635000,453.985125850965,1,0,0
EAST BALLINA,625000,700000,730000,730000,817500,817500,807500,750000,58750.9751692117,42736.2713498603,31739.9098139865,9428.09041582063,713000,755833.333333333,754375,736666.666666667,717500,740000,740000,730000,3451677083.33333,1826388888.88889,1007421875,88888888.8888889,134065.12987013,333955.882352941,622954.545454545,1110000,595.863399021096,0,0,1
EAST GOSFORD,600000,637500,637500,637500,900000,900000,830000,777350,88380.0720491711,82771.5417580221,71406.2179978046,57400.4403777145,724737.5,768725,741212.5,711616.666666667,732250,762425,748675,720000,7811037135.41667,6851128125,5098847968.75,3294810555.55556,136215.220779221,342166.764705882,618268.181818182,1088050,59.7695637228553,0,1,0
EAST KEMPSEY,225000,237000,285000,285000,391500,370000,370000,370000,50483.302210566,44407.3043603815,31584.89304636,36462.499761932,305062.5,315041.666666667,335812.5,335416.666666667,310000,323500,344125,351250,2548563802.08333,1972008680.55556,997605468.75,1329513888.88889,57273.3116883117,137641.176470588,274011.363636364,498437.5,421.477624506229,1,0,1
EAST LINDFIELD,1751000,2100000,2100000,2100000,3163000,2820000,2675000,2573000,365559.920608859,229682.147518889,218212.482456893,195060.674321265,2472666.66666667,2496333.33333333,2435750,2356000,2526500,2494000,2484000,2395000,133634055555.556,52753888888.8889,47616687500,38048666666.6667,465575.324675325,1110005.88235294,2036136.36363636,3652250,12.4358367825093,0,0,0
EAST LISMORE,310000,356500,365000,365000,390000,390000,390000,390000,23343.0754169598,10647.4436159839,8926.78553567856,10274.0233382816,355046.875,373583.333333333,376250,376666.666666667,358000,375000,375000,375000,544899169.921875,113368055.555556,79687500,105555555.555556,66732.8246753247,164485.294117647,307272.727272727,562500,603.774598163236,0,1,0
EAST MAITLAND,390000,455750,470000,479000,507500,507500,507500,507500,40596.1222149221,18751.8980520788,16562.3820750519,13205.6385263602,449916.666666667,482708.333333333,490750,497666.666666667,462875,478250,492750,506500,1648045138.88889,351633680.555555,274312500,174388888.888889,84429.8051948052,212077.941176471,399590.909090909,746250,126.837386784717,1,0,1
EAST RYDE,1300000,1300000,1300000,1300000,1895000,1815000,1800000,1800000,143645.02639609,172157.974127124,178652.727029284,204613.456709637,1655745,1632083.33333333,1573125,1560000,1631250,1648750,1596250,1580000,20633893608.3333,29638368055.5556,31916796875,41866666666.6667,312674.342857143,727985.294117647,1313409.09090909,2465000,13.7779586388921,1,0,0
EAST TAMWORTH,365000,365000,365000,365000,487000,487000,462000,462000,36716.6030696226,37569.6575266087,37275.9976392316,41523.7549147741,423854.166666667,437750,428000,422333.333333333,431250,442500,442500,440000,1348108940.97222,1411479166.66667,1389500000,1724222222.22222,79807.5324675325,193708.823529412,350727.272727273,628000,281.137062402632,0,0,1
EASTWOOD,1380000,1380000,1380000,1380000,2000000,1868000,1768000,1768000,156758.255309374,171935.792279172,157291.727373057,158417.872167954,1745645.83333333,1697500,1616750,1572333.33333333,1759000,1759000,1659500,1569000,24573150607.6389,29561916666.6667,24740687500,25096222222.2222,329719.415584416,757388.235294118,1343954.54545455,2408250,17.0087313539812,1,0,1
EDEN,285000,415000,415000,415000,482000,482000,460000,460000,48155.9379271019,21910.8040321056,16614.6584376568,19088.972965796,415395.833333333,446000,442125,441166.666666667,420250,446750,446750,448500,2318994357.63889,480083333.333333,276046875,364388888.888889,77997.7272727273,197170.588235294,364045.454545455,673000,401.387526885007,1,0,0
EDENSOR PARK,753000,777500,777500,777500,1035000,1035000,1035000,1035000,69576.2346678487,79211.6100497059,94445.3380268185,109017.073076754,839541.666666667,873750,884375,885833.333333333,827500,857500,862500,845000,4840852430.55556,6274479166.66667,8919921875,11884722222.2222,157819.480519481,383058.823529412,711477.272727273,1264375,34.3165286001894,0,1,1
EDGEWORTH,393750,450000,461100,461100,472000,472000,472000,472000,31837.6706796455,7256.17074557159,4266.36554927025,4737.7913278939,436270.833333333,463008.333333333,467025,467700,454975,463050,467500,470000,1013637274.30556,52652013.8888889,18201875,22446666.6666667,81960.2727272727,203978.529411765,381836.363636364,701050,109.351570729066,1,0,1
EDMONDSON PARK,772600,810000,810000,810000,914410,914410,909000,845000,46157.346990951,42182.0856196351,40425.8580613943,16499.1582276861,847273.083333333,859651.666666667,843500,821666.666666667,850000,857250,827500,810000,2130500681.24306,1779328347.22222,1634250000,272222222.222222,159635.03948052,381300.882352941,696090.909090909,1232500,39.1497982326481,0,1,0
EGLINTON,410000,450000,453500,453500,481000,481000,481000,481000,20717.3752057703,12215.9390415419,10647.7697195234,11735.5111615226,452437.5,468750,471500,469666.666666667,450375,475500,475750,474500,429209635.416667,149229166.666667,113375000,137722222.222222,85119.1558441558,206470.588235294,385318.181818182,699250,164.659735910035,0,1,0
ELANORA HEIGHTS,1380000,1420000,1420000,1420000,1800000,1677500,1677500,1677500,122323.24975472,100350.081658606,110665.599894457,106907.280699991,1592708.33333333,1581666.66666667,1570000,1535000,1575000,1605000,1591250,1507500,14962977430.5556,10070138888.8889,12246875000,11429166666.6667,300450.649350649,701264.705882353,1301818.18181818,2345000,17.0472750663228,1,0,1
ELDERSLIE,677500,697000,710000,710000,752500,752500,752500,752500,22370.2545557463,19503.0610133099,15749.5039604427,18142.9508808977,717646.666666667,726043.333333333,728125,727500,720000,725000,725000,720000,500428288.888889,380369388.888889,248046875,329166666.666667,135200.737662338,320292,597840.909090909,1101875,70.4592681297323,1,0,0
ELEEBANA,660000,691631,691631,700000,890000,890000,890000,890000,57475.6891101577,66449.4109590563,80491.5509863458,77580.0661682282,755344.25,774355.166666667,768407.75,794000,753000,784750,746000,792000,3303454838.6875,4415524216.80556,6478889780.1875,6018666666.66667,142189.895584416,341633.547058824,625899.363636364,1214000,103.717809072427,1,1,0
ELERMORE VALE,465000,530000,530000,530000,607500,607500,607500,607500,44829.3058909757,27300.4120848019,32228.4327108843,35959.0816839857,555500,586250,585625,580833.333333333,561250,600000,602500,605000,2009666666.66667,745312500,1038671875,1293055555.55556,104399.61038961,259220.588235294,483863.636363636,890000,113.842127332287,1,1,0
EMERALD BEACH,530000,560000,560000,560000,745000,745000,730000,730000,69133.086728104,71341.3157527483,61083.9586143531,69562.1225156974,606041.666666667,647500,642500,648333.333333333,572500,640000,640000,655000,4779383680.55556,5089583333.33333,3731250000,4838888888.88889,113831.818181818,284294.117647059,516363.636363636,930000,457.06336376454,0,1,1
EMU HEIGHTS,600000,655000,655000,655000,745000,720000,720000,720000,36525.2022690755,22320.8920570443,23092.206477511,26662.4996744283,681271.375,689666.666666667,685500,685666.666666667,683500,683500,683500,682000,1334090400.79688,498222222.222222,533250000,710888888.888889,128315.625844156,304882.352941176,562545.454545455,1038000,54.6608831476183,1,0,1
EMU PLAINS,655000,655000,655000,655000,805000,755000,670000,670000,44500.1706847538,40048.6683091128,5857.68725692999,6745.36878161602,702770.833333333,692750,664750,664500,685000,669250,667000,668500,1980265190.97222,1603895833.33333,34312500,45500000,132612.792207792,307485.294117647,543272.727272727,993000,54.6608831476183,0,1,1
ENGADINE,830000,830000,830000,830000,1075000,1075000,920000,907500,75216.7585308546,74857.5035205779,34522.4111991037,33187.1795862331,956208.333333333,928750,886875,875833.333333333,935000,913750,898750,890000,5657560763.88889,5603645833.33333,1191796875,1101388888.88889,180584.545454545,413911.764705882,732159.090909091,1333125,35.3080002186807,0,0,0
ENMORE,1175000,1175000,1175000,1175000,1565000,1460000,1436000,1436000,121588.616517611,98657.6572463249,93810.9801675689,106584.343232119,1375500,1321000,1294000,1303666.66666667,1325000,1295000,1282500,1300000,14783791666.6667,9733333333.33333,8800500000,11360222222.2222,259818.441558442,584594.117647059,1061772.72727273,1986750,8.76344237314697,1,1,0
EPPING,1360000,1360000,1360000,1360000,1917500,1766000,1700000,1580000,155475.407799933,142858.831835254,127573.508221731,89938.2504215469,1699458.33333333,1592250,1525000,1466666.66666667,1722500,1633750,1520000,1460000,24172602430.5556,20408645833.3333,16275000000,8088888888.88889,321702.987012987,709626.470588235,1268181.81818182,2225000,18.9104064303263,0,1,0
ERINA,625000,785000,785000,785000,942500,942500,942500,942500,83948.3554865066,53787.1318770164,57131.9744101322,65965.0580905443,809916.666666667,864166.666666667,873750,874166.666666667,795000,878750,883750,895000,7047326388.88889,2893055555.55556,3264062500,4351388888.88889,152132.727272727,381073.529411765,716931.818181818,1323125,59.7695637228553,1,0,1
