suburb_postcode,DAWES POINT,HAYMARKET,MILLERS POINT,THE ROCKS,DARLING POINT,DOUBLE BAY,EDGECLIFF,POINT PIPER,WOOLLAHRA,DOVER HEIGHTS,WATSONS BAY,BELLEVUE HILL,ROSE BAY,DOUBLE BAY,BELLEVUE HILL,BALMORAL,BALMORAL BEACH,BEAUTY POINT,CLIFTON GARDENS,SPIT JUNCTION,THE SPIT,DOUBLE BAY,WOOLLAHRA,ELIZABETH BAY,POTTS POINT,RUSHCUTTERS BAY,WOOLLOOMOOLOO,BONDI,BONDI BEACH,TAMARAMA,BONDI JUNCTION,QUEENS PARK,KIRRIBILLI,MILSONS POINT,CREMORNE,KURRABA POINT,NEUTRAL BAY,NORTH SYDNEY,CREMORNE,CREMORNE POINT,DARLINGHURST,SURRY HILLS,BRONTE,CLOVELLY,WAVERLEY,CAMMERAY,LAVENDER BAY,MCMAHONS POINT,NORTH SYDNEY,WAVERTON,CAMMERAY,PYRMONT,MANLY,REDFERN,ULTIMO,CLOVELLY,RANDWICK,NORTHBRIDGE,KENSINGTON,WATERLOO,ZETLAND,CHIPPENDALE,DARLINGTON,CROWS NEST,GREENWICH,NAREMBURN,ST LEONARDS,WOLLSTONECRAFT,FOREST LODGE,GLEBE,BALMAIN,BALMAIN EAST,BIRCHGROVE,LILYFIELD,SEAFORTH,FAIRLIGHT,BALGOWLAH,BALGOWLAH HEIGHTS,CLONTARF,MANLY VALE,NORTH BALGOWLAH,COOGEE,SOUTH COOGEE,ROZELLE,ALEXANDRIA,BEACONSFIELD,ERSKINEVILLE,CASTLECRAG,MIDDLE COVE,NORTH WILLOUGHBY,WILLOUGHBY,DACEYVILLE,KINGSFORD,DRUMMOYNE,ARTARMON,EASTLAKES,ENMORE,STANMORE,LEICHHARDT,LILYFIELD,CURL CURL,FRESHWATER,QUEENSCLIFF,MAROUBRA,LANE COVE,LANE COVE WEST,LINLEY POINT,LONGUEVILLE,NORTHWOOD,RIVERVIEW,CHATSWOOD,HUNTERS HILL,WOOLWICH,ALLAMBIE HEIGHTS,BEACON HILL,BROOKVALE,NORTH MANLY,OXFORD FALLS,SYDENHAM,TEMPE,CASTLE COVE,EAST ROSEVILLE,ROSEVILLE CHASE,LEWISHAM,PETERSHAM,BANKSMEADOW,BOTANY,MARRICKVILLE,HABERFIELD,BANKSMEADOW,FORESTVILLE,KILLARNEY HEIGHTS,ABBOTSFORD,CANADA BAY,CHISWICK,FIVE DOCK,RODD POINT,RUSSELL LEA,WAREEMBA,SUMMER HILL,DULWICH HILL,FRENCHS FOREST,CHIFLEY,EASTGARDENS,HILLSDALE,LA PEROUSE,LITTLE BAY,MALABAR,PHILLIP BAY,EAST LINDFIELD,LINDFIELD,WEST LINDFIELD,CROMER,DEE WHY,NARRAWEENA,NORTH CURL CURL,ASHFIELD,HENLEY,HUNTLEYS COVE,HUNTLEYS POINT,TENNYSON POINT,ARNCLIFFE,TURRELLA,WOLLI CREEK,EAST KILLARA,KILLARA,CANTERBURY,EAST RYDE,MACQUARIE PARK,NORTH RYDE,COLLAROY,COLLAROY PLATEAU,WHEELER HEIGHTS,BREAKFAST POINT,CABARITA,CONCORD,MORTLAKE,NORTH STRATHFIELD,CLEMTON PARK,EARLWOOD,BURWOOD,DENISTONE EAST,PUTNEY,RYDE,BANKSIA,BRIGHTON-LE-SANDS,KYEEMAGH,ROCKDALE,GORDON,BELROSE,DAVIDSON,CAMPSIE,CONCORD WEST,LIBERTY GROVE,RHODES,BURWOOD HEIGHTS,ENFIELD,STRATHFIELD SOUTH,BARDWELL PARK,BARDWELL VALLEY,BEXLEY,BEXLEY NORTH,PYMBLE,WEST PYMBLE,BEVERLEY PARK,KOGARAH BAY,MONTEREY,RAMSGATE BEACH,DENISTONE,DENISTONE WEST,MEADOWBANK,WEST RYDE,BELMORE,MARSFIELD,ELANORA HEIGHTS,INGLESIDE,NARRABEEN,NORTH ST IVES,ST IVES,ST IVES CHASE,FLEMINGTON,HOMEBUSH,ALLAWAH,LAKEMBA,WILEY PARK,NORTH TURRAMURRA,SOUTH TURRAMURRA,TURRAMURRA,WARRAWEE,HURSTVILLE,HURSTVILLE GROVE,ERMINGTON,EPPING,NORTH EPPING,DOLLS POINT,SANDRINGHAM,WARRIEWOOD,BERALA,PENSHURST,KURNELL,ROSELANDS,BLAKEHURST,CARSS PARK,CONNELLS POINT,KYLE BAY,SOUTH HURSTVILLE,FOX VALLEY,NORMANHURST,NORTH WAHROONGA,MONA VALE,RYDALMERE,DUNDAS,DUNDAS VALLEY,OATLANDS,TELOPEA,CHELTENHAM,AUBURN,MORTDALE,OATLEY,LUGARNO,PEAKHURST,PEAKHURST HEIGHTS,CARLINGFORD,BAYVIEW,PENNANT HILLS,THORNLEIGH,WESTLEIGH,KANGAROO POINT,SYLVANIA,SYLVANIA WATERS,CLYDE,ROSEHILL,SOUTH GRANVILLE,NEWPORT,COTTAGE POINT,DUFFYS FOREST,TERREY HILLS,HARRIS PARK,PARRAMATTA,ASQUITH,HORNSBY,HORNSBY HEIGHTS,WAITARA,WEST PENNANT HILLS,NORTH PARRAMATTA,CHURCH POINT,ELVINA BAY,LOVETT BAY,MORNING BAY,SCOTLAND ISLAND,BONNET BAY,COMO,JANNALI,MIRANDA,YOWIE BAY,CHERRYBROOK,MOUNT KURING-GAI,CARINGBAH,CARINGBAH SOUTH,DOLANS BAY,LILLI PILLI,PORT HACKING,TAREN POINT,GUILDFORD,GUILDFORD WEST,OLD GUILDFORD,MOUNT COLAH,NORTHMEAD,CARRAMAR,AVALON,BILGOLA,BILGOLA PLATEAU,CLAREVILLE,WHALE BEACH,MERRYLANDS WEST,GYMEA,GYMEA BAY,CONSTITUTION HILL,GIRRAWEEN,GREYSTANES,PEMULWUY,SOUTH WENTWORTHVILLE,BUNDEENA,BURRANEER,CRONULLA,GREENHILLS BEACH,MAIANBAR,WOOLOOWARE,BEROWRA,COWAN,OLD TOONGABBIE,FAIRFIELD EAST,FAIRFIELD HEIGHTS,FAIRFIELD WEST,AUSTRAL,BADGERYS CREEK,CARNES HILL,CATHERINE FIELD,CECIL HILLS,CECIL PARK,EDMONDSON PARK,HORNINGSEA PARK,HOXTON PARK,LEPPINGTON,MIDDLETON GRANGE,PLEASURE POINT,SANDY POINT,VOYAGER POINT,WEST HOXTON,GRAYS POINT,KAREELA,KIRRAWEE,LOFTUS,SUTHERLAND,WORONORA,COASTERS RETREAT,GREAT MACKEREL BEACH,MORNING BAY,PALM BEACH,ALFORDS POINT,BANGOR,BARDEN RIDGE,ILLAWONG,LUCAS HEIGHTS,MENAI,CABRAMATTA,CABRAMATTA WEST,CANLEY HEIGHTS,CANLEY VALE,LANSVALE,WINSTON HILLS,KINGS LANGLEY,LALOR PARK,CASULA,CHIPPING NORTON,HAMMONDVILLE,LIVERPOOL,LURNEA,MOOREBANK,PRESTONS,WARWICK FARM,PLEASURE POINT,SANDY POINT,VOYAGER POINT,KELLYVILLE RIDGE,THE PONDS,ARNDELL PARK,BLACKTOWN,HUNTINGWOOD,KINGS PARK,MARAYONG,BEROWRA HEIGHTS,BEROWRA WATERS,ABBOTSBURY,BOSSLEY PARK,EDENSOR PARK,GREENFIELD PARK,PRAIRIEWOOD,ST JOHNS PARK,WAKELEY,HORSLEY PARK,WETHERILL PARK,WOODPARK,ENGADINE,HEATHCOTE,WATERFALL,WORONORA HEIGHTS,YARRAWARRAH,ASHCROFT,BUSBY,CARTWRIGHT,GREEN VALLEY,HECKENBERG,HINCHINBROOK,MILLER,SADLEIR,GLENFIELD,ACACIA GARDENS,QUAKERS HILL,LONG POINT,MACQUARIE FIELDS,MACQUARIE LINKS,BUNGARRIBEE,DOONSIDE,WOODCROFT,BROOKLYN,EASTERN CREEK,ROOTY HILL,SCHOFIELDS,EDMONDSON PARK,HOLSWORTHY,WATTLE GROVE,COLEBEE,DEAN PARK,GLENDENNING,HASSALL GROVE,OAKHURST,PLUMPTON,BARDIA,DENHAM COURT,INGLEBURN,MACQUARIE LINKS,BOW BOWING,MINTO,MINTO HEIGHTS,RABY,ST ANDREWS,BERKSHIRE PARK,MARSDEN PARK,OAKVILLE,BIDWILL,BLACKETT,DHARRUK,EMERTON,HEBERSHAM,LETHBRIDGE PARK,MINCHINBURY,MOUNT DRUITT,SHALVEY,TREGEAR,WHALAN,WILLMOT,ERSKINE PARK,MOUNT VERNON,ST CLAIR,COLYTON,NORTH ST MARYS,OXLEY PARK,ROPES CROSSING,EAGLE VALE,ESCHOL PARK,KEARNS,BLAIRMOUNT,CLAYMORE,ORCHARD HILLS,CADDENS,CAMBRIDGE GARDENS,CAMBRIDGE PARK,CLAREMONT MEADOWS,JORDAN SPRINGS,KINGSWOOD,LLANDILO,WERRINGTON,WERRINGTON COUNTY,WERRINGTON DOWNS,CURRANS HILL,HARRINGTON PARK,MOUNT ANNAN,NARELLAN,NARELLAN VALE,SMEATON GRANGE,MENANGLE PARK,GLENMORE PARK,MULGOA,REGENTVILLE,EMU HEIGHTS,EMU PLAINS,JAMISONTOWN,KINGSWOOD PARK,LEONAY,PENRITH,SOUTH PENRITH,CASTLEREAGH,CRANEBROOK,BLIGH PARK,CLARENDON,COLO,COLO HEIGHTS,CORNWALLIS,CUMBERLAND REACH,EBENEZER,FREEMANS REACH,GLOSSODIA,MCGRATHS HILL,MULGRAVE,PITT TOWN,PITT TOWN BOTTOMS,SACKVILLE,SOUTH WINDSOR,WILBERFORCE,WINDSOR,WINDSOR DOWNS,AIRDS,AMBARVALE,APPIN,BLAIR ATHOL,BRADBURY,CAMPBELLTOWN,ENGLORIE PARK,GILEAD,GLEN ALPINE,KENTLYN,LEUMEAH,ROSEMEADOW,RUSE,ST HELENS PARK,WEDDERBURN,WOODBINE,CAMDEN PARK,MENANGLE,GLENBROOK,LAPSTONE,NORTH RICHMOND,TENNYSON,THE SLOPES,BLAXLAND,MOUNT RIVERVIEW,WARRIMOO,KURMOND,SILVERDALE,WARRAGAMBA,DOUGLAS PARK,BOWEN MOUNTAIN,GROSE VALE,GROSE WOLD,HOBARTVILLE,LONDONDERRY,RICHMOND,YARRAMUNDI,HAWKESBURY HEIGHTS,SPRINGWOOD,SUN VALLEY,VALLEY HEIGHTS,WINMALEE,YELLOW ROCK,BALMORAL,BUXTON,COURIDJAH,PICTON,RAZORBACK,WILTON,FAULCONBRIDGE,CENTRAL MACDONALD,HIGHER MACDONALD,LOWER MACDONALD,ST ALBANS,WEBBS CREEK,BELIMBLA PARK,BROWNLOW HILL,CAMDEN PARK,CAMDEN SOUTH,CAWDOR,COBBITTY,ELDERSLIE,ELLIS LANE,GLENMORE,GRASMERE,KIRKHAM,MOUNT HUNTER,NARELLAN,OAKDALE,ORAN PARK,ORANGEVILLE,SPRING FARM,THE OAKS,THERESA PARK,WEROMBI,LINDEN,WOODFORD,ROCKY POINT,TAHMOOR,BERAMBING,BILPIN,BLAXLANDS RIDGE,EAST KURRAJONG,KURRAJONG,KURRAJONG HEIGHTS,KURRAJONG HILLS,MOUNTAIN LAGOON,LAKESLAND,THIRLMERE,HAZELBROOK,KATOOMBA,LEURA,MEDLOW BATH,LAWSON,BARGO,PHEASANTS NEST,YANDERRA,BULLABURRA,WENTWORTH FALLS,SILVERWATER,SHELL COVE,YELLOW ROCK,BELL,MOUNT IRVINE,MOUNT VICTORIA,MOUNT WILSON,BALMORAL,BLACKHEATH,YERRANDERIE,DARLINGTON,ELDERSLIE,LILLI PILLI,KINGSWOOD,ORANGE GROVE,ENMORE,RICHMOND
postcode,2000,2000,2000,2000,2027,2027,2027,2027,2027,2030,2030,2029,2029,2028,2023,2088,2088,2088,2088,2088,2088,2025,2025,2011,2011,2011,2011,2026,2026,2026,2022,2022,2061,2061,2089,2089,2089,2089,2090,2090,2010,2010,2024,2024,2024,2060,2060,2060,2060,2060,2062,2009,2095,2016,2007,2031,2031,2063,2033,2017,2017,2008,2008,2065,2065,2065,2065,2065,2037,2037,2041,2041,2041,2041,2092,2094,2093,2093,2093,2093,2093,2034,2034,2039,2015,2015,2043,2068,2068,2068,2068,2032,2032,2047,2064,2018,2042,2048,2040,2040,2096,2096,2096,2035,2066,2066,2066,2066,2066,2066,2067,2110,2110,2100,2100,2100,2100,2100,2044,2044,2069,2069,2069,2049,2049,2019,2019,2204,2045,2020,2087,2087,2046,2046,2046,2046,2046,2046,2046,2130,2203,2086,2036,2036,2036,2036,2036,2036,2036,2070,2070,2070,2099,2099,2099,2099,2131,2111,2111,2111,2111,2205,2205,2205,2071,2071,2193,2113,2113,2113,2097,2097,2097,2137,2137,2137,2137,2137,2206,2206,2134,2112,2112,2112,2216,2216,2216,2216,2072,2085,2085,2194,2138,2138,2138,2136,2136,2136,2207,2207,2207,2207,2073,2073,2217,2217,2217,2217,2114,2114,2114,2114,2192,2122,2101,2101,2101,2075,2075,2075,2140,2140,2218,2195,2195,2074,2074,2074,2074,2220,2220,2115,2121,2121,2219,2219,2102,2141,2222,2231,2196,2221,2221,2221,2221,2221,2076,2076,2076,2103,2116,2117,2117,2117,2117,2119,2144,2223,2223,2210,2210,2210,2118,2104,2120,2120,2120,2224,2224,2224,2142,2142,2142,2106,2084,2084,2084,2150,2150,2077,2077,2077,2077,2125,2151,2105,2105,2105,2105,2105,2226,2226,2226,2228,2228,2126,2080,2229,2229,2229,2229,2229,2229,2161,2161,2161,2079,2152,2163,2107,2107,2107,2107,2107,2160,2227,2227,2145,2145,2145,2145,2145,2230,2230,2230,2230,2230,2230,2081,2081,2146,2165,2165,2165,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171,2232,2232,2232,2232,2232,2232,2108,2108,2108,2108,2234,2234,2234,2234,2234,2234,2166,2166,2166,2166,2166,2153,2147,2147,2170,2170,2170,2170,2170,2170,2170,2170,2172,2172,2172,2155,2155,2148,2148,2148,2148,2148,2082,2082,2176,2176,2176,2176,2176,2176,2176,2164,2164,2164,2233,2233,2233,2233,2233,2168,2168,2168,2168,2168,2168,2168,2168,2167,2763,2763,2564,2564,2564,2767,2767,2767,2083,2766,2766,2762,2174,2173,2173,2761,2761,2761,2761,2761,2761,2565,2565,2565,2565,2566,2566,2566,2566,2566,2765,2765,2765,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2759,2759,2759,2760,2760,2760,2760,2558,2558,2558,2559,2559,2748,2747,2747,2747,2747,2747,2747,2747,2747,2747,2747,2567,2567,2567,2567,2567,2567,2563,2745,2745,2745,2750,2750,2750,2750,2750,2750,2750,2749,2749,2756,2756,2756,2756,2756,2756,2756,2756,2756,2756,2756,2756,2756,2756,2756,2756,2756,2756,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2568,2568,2773,2773,2754,2754,2754,2774,2774,2774,2757,2752,2752,2569,2753,2753,2753,2753,2753,2753,2753,2777,2777,2777,2777,2777,2777,2571,2571,2571,2571,2571,2571,2776,2775,2775,2775,2775,2775,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570,2778,2778,2259,2573,2758,2758,2758,2758,2758,2758,2758,2758,2572,2572,2779,2780,2780,2780,2783,2574,2574,2574,2784,2782,2264,2529,2527,2786,2786,2786,2786,2283,2785,2787,2330,2335,2536,2340,2380,2350,2643
lat,-33.859953,-33.859953,-33.859953,-33.859953,-33.868972,-33.868972,-33.868972,-33.868972,-33.868972,-33.858378,-33.858378,-33.875709,-33.875709,-33.878413,-33.884685,-33.830687,-33.830687,-33.830687,-33.830687,-33.830687,-33.830687,-33.88871,-33.88871,-33.873599,-33.873599,-33.873599,-33.873599,-33.891041,-33.891041,-33.891041,-33.896401,-33.896401,-33.848785,-33.848785,-33.838021,-33.838021,-33.838021,-33.838021,-33.828949,-33.828949,-33.884119,-33.884119,-33.904414,-33.904414,-33.904414,-33.839863,-33.839863,-33.839863,-33.839863,-33.839863,-33.822837,-33.871222,-33.815482,-33.894912,-33.883189,-33.914832,-33.914832,-33.812636,-33.91139,-33.903892,-33.903892,-33.891146,-33.891146,-33.828361,-33.828361,-33.828361,-33.828361,-33.828361,-33.880179,-33.880179,-33.858556,-33.858556,-33.858556,-33.858556,-33.796636,-33.795227,-33.79315,-33.79315,-33.79315,-33.79315,-33.79315,-33.929096,-33.929096,-33.867187,-33.910105,-33.910105,-33.903521,-33.800881,-33.800881,-33.800881,-33.800881,-33.930314,-33.930314,-33.853924,-33.813209,-33.9233,-33.900649,-33.89418,-33.878774,-33.878774,-33.776781,-33.776781,-33.776781,-33.945635,-33.818641,-33.818641,-33.818641,-33.818641,-33.818641,-33.818641,-33.798378,-33.836102,-33.836102,-33.766409,-33.766409,-33.766409,-33.766409,-33.766409,-33.920698,-33.920698,-33.780246,-33.780246,-33.780246,-33.897219,-33.897219,-33.946923,-33.946923,-33.912288,-33.879301,-33.936179,-33.766093,-33.766093,-33.866044,-33.866044,-33.866044,-33.866044,-33.866044,-33.866044,-33.866044,-33.892783,-33.90441,-33.75185,-33.969624,-33.969624,-33.969624,-33.969624,-33.969624,-33.969624,-33.969624,-33.78042,-33.78042,-33.78042,-33.748914,-33.748914,-33.748914,-33.748914,-33.887602,-33.829953,-33.829953,-33.829953,-33.829953,-33.937551,-33.937551,-33.937551,-33.761834,-33.761834,-33.910308,-33.79419,-33.79419,-33.79419,-33.739577,-33.739577,-33.739577,-33.85749,-33.85749,-33.85749,-33.85749,-33.85749,-33.926056,-33.926056,-33.880049,-33.81658,-33.81658,-33.81658,-33.955393,-33.955393,-33.955393,-33.955393,-33.754582,-33.728782,-33.728782,-33.917601,-33.846098,-33.846098,-33.846098,-33.892944,-33.892944,-33.892944,-33.948744,-33.948744,-33.948744,-33.948744,-33.757296,-33.757296,-33.974354,-33.974354,-33.974354,-33.974354,-33.810991,-33.810991,-33.810991,-33.810991,-33.921018,-33.791357,-33.707117,-33.707117,-33.707117,-33.723693,-33.723693,-33.723693,-33.835018,-33.835018,-33.973161,-33.924525,-33.924525,-33.735222,-33.735222,-33.735222,-33.735222,-33.966692,-33.966692,-33.813106,-33.774145,-33.774145,-33.996587,-33.996587,-33.689941,-33.872483,-33.964713,-34.029927,-33.930089,-33.992159,-33.992159,-33.992159,-33.992159,-33.992159,-33.723263,-33.723263,-33.723263,-33.679336,-33.814368,-33.797127,-33.797127,-33.797127,-33.797127,-33.755499,-33.851868,-33.980264,-33.980264,-33.957725,-33.957725,-33.957725,-33.775596,-33.664921,-33.731105,-33.731105,-33.731105,-34.01362,-34.01362,-34.01362,-33.832747,-33.832747,-33.832747,-33.660707,-33.650999,-33.650999,-33.650999,-33.814463,-33.814463,-33.691922,-33.691922,-33.691922,-33.691922,-33.752645,-33.78709,-33.642202,-33.642202,-33.642202,-33.642202,-33.642202,-34.009345,-34.009345,-34.009345,-34.037692,-34.037692,-33.724898,-33.658174,-34.05494,-34.05494,-34.05494,-34.05494,-34.05494,-34.05494,-33.858335,-33.858335,-33.858335,-33.666637,-33.782501,-33.887203,-33.634816,-33.634816,-33.634816,-33.634816,-33.634816,-33.835883,-34.04984,-34.04984,-33.813104,-33.813104,-33.813104,-33.813104,-33.813104,-34.093213,-34.093213,-34.093213,-34.093213,-34.093213,-34.093213,-33.619756,-33.619756,-33.789374,-33.872435,-33.872435,-33.872435,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-33.959617,-34.061753,-34.061753,-34.061753,-34.061753,-34.061753,-34.061753,-33.60382,-33.60382,-33.60382,-33.60382,-34.021938,-34.021938,-34.021938,-34.021938,-34.021938,-34.021938,-33.892738,-33.892738,-33.892738,-33.892738,-33.892738,-33.731651,-33.766075,-33.766075,-33.928392,-33.928392,-33.928392,-33.928392,-33.928392,-33.928392,-33.928392,-33.928392,-33.951109,-33.951109,-33.951109,-33.731523,-33.731523,-33.783751,-33.783751,-33.783751,-33.783751,-33.783751,-33.561858,-33.561858,-33.872014,-33.872014,-33.872014,-33.872014,-33.872014,-33.872014,-33.872014,-33.844153,-33.844153,-33.844153,-34.114626,-34.114626,-34.114626,-34.114626,-34.114626,-33.915939,-33.915939,-33.915939,-33.915939,-33.915939,-33.915939,-33.915939,-33.915939,-33.972167,-33.725619,-33.725619,-33.998362,-33.998362,-33.998362,-33.763843,-33.763843,-33.763843,-33.525322,-33.810388,-33.810388,-33.700603,-33.977497,-34.074239,-34.074239,-33.742006,-33.742006,-33.742006,-33.742006,-33.742006,-33.742006,-33.996063,-33.996063,-33.996063,-33.996063,-34.027283,-34.027283,-34.027283,-34.027283,-34.027283,-33.663002,-33.663002,-33.663002,-33.756443,-33.756443,-33.756443,-33.756443,-33.756443,-33.756443,-33.756443,-33.756443,-33.756443,-33.756443,-33.756443,-33.756443,-33.82252,-33.82252,-33.82252,-33.763976,-33.763976,-33.763976,-33.763976,-34.031602,-34.031602,-34.031602,-34.051274,-34.051274,-33.811042,-33.722323,-33.722323,-33.722323,-33.722323,-33.722323,-33.722323,-33.722323,-33.722323,-33.722323,-33.722323,-34.055155,-34.055155,-34.055155,-34.055155,-34.055155,-34.055155,-34.102735,-33.871341,-33.871341,-33.871341,-33.755476,-33.755476,-33.755476,-33.755476,-33.755476,-33.755476,-33.755476,-33.702167,-33.702167,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-33.466271,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.194216,-34.147379,-34.147379,-33.768837,-33.768837,-33.557893,-33.557893,-33.557893,-33.732671,-33.732671,-33.732671,-33.554839,-33.936534,-33.936534,-34.196004,-33.604022,-33.604022,-33.604022,-33.604022,-33.604022,-33.604022,-33.604022,-33.692534,-33.692534,-33.692534,-33.692534,-33.692534,-33.692534,-34.16715,-34.16715,-34.16715,-34.16715,-34.16715,-34.16715,-33.666855,-33.305478,-33.305478,-33.305478,-33.305478,-33.305478,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-34.042913,-33.728545,-33.728545,-33.208801,-34.218439,-33.483614,-33.483614,-33.483614,-33.483614,-33.483614,-33.483614,-33.483614,-33.483614,-34.193052,-34.193052,-33.7237,-33.832923,-33.832923,-33.832923,-33.725566,-34.295634,-34.295634,-34.295634,-33.729916,-33.704416,-33.106675,-34.592433,-34.583539,-33.533055,-33.533055,-33.533055,-33.533055,-33.019117,-33.707725,-34.06024,-32.760486,-32.642118,-35.671272,-31.333592,-31.046117,-30.493397,-35.936556
